ID	GLOSS	CONCEPTICON_GLOSS_IN_SOURCE	CONCEPTICON_ID	CONCEPTICON_GLOSS	NOTE
1	fence (n)				
2	fold (clothes)				
3	I (1sg)	I [first person singular]	1209	I	
4	macaque				
5	know	to know (something)	1410	KNOW (SOMETHING)	
6	lap				
7	when				
8	big	big	1202	BIG	
9	poison				
10	son	the son	1620	SON	
11	gather, collect1				
12	breath				
13	carry (on the back)				
14	porcupine				
15	copula, existential				
16	Curcuma sp.				
17	fire	the fire	221	FIRE	
18	dream	the dream	2374	DREAM	
19	negative prefix			???	
20	down (invisible)			???	
21	down (visible)			???	
22	call for			???	
23	water	the water	948	WATER	
24	skin, bark	the skin	763	SKIN	
25	under, below	below, under	1485	BELOW OR UNDER	
26	"nest; hive; womb"				
27	millet, foxtail				
28	snatch away				
29	locative marker				
30	ascend				
31	hang around the neck				
32	backwards				
33	five	five	493	FIVE	
34	be hungry			???	
35	rope	the rope	1218	ROPE	
36	ear	the ear	1247	EAR	
37	thick	thick	1244	THICK	
38	fern, inedible			???	
39	prohibitive (negative imperative)			???	
40	take			???	
41	throw	to throw	1456	THROW	
42	cover			???	
43	wear (a bracelet)			???	
44	cane carrying strap			???	
45	liquor			???	
46	night			???	
47	barley (highland)	the barley (tibetan or highland)	932	BARLEY	
48	sow (broadcast)	to sow (broadcast, scatter seeds)	748	SOW SEEDS	
49	spread out to dry			???	
50	lose, be defeated			???	
51	door			???	
52	forehead			???	
53	chew	to chew	321	CHEW	
54	year	the year	1226	YEAR	
55	marten			???	
56	sing	to sing	1261	SING	
58	rat, mouse, rodent	the mouse or rat	2139	MUROID (MOUSE OR RAT)	
59	horse	the horse	615	HORSE	
60	spittle			???	
61	break			???	
62	cave			???	
63	cry	to cry (weep)	1839	CRY	
64	cane			???	
65	horn	the horn (keratinized skin)	1393	HORN (ANATOMY)	
66	stand up 		1442	STAND	
67	twist (cane)			???	
68	wild boar			???	
69	barking deer			???	
70	bone	the bone	1394	BONE	
71	day after two days			???	
72	shoot	to shoot (an arrow)	1172	SHOOT	
73	human			???	
74	bind together			???	
75	fireplace, hearth			???	
76	push	to push	1452	PUSH	
77	weave			???	
78	burn (vt), roast				unlinked
79	cook (grains in water)			???	
80	navel			???	
81	tasty			???	
82	"moon; month"	the moon	1313	MOON	
83	hate			???	
84	work			???	
85	axe			???	
86	ash			???	
87	forget	to forget	1523	FORGET	
88	gift			???	
89	thigh	the thigh	471	UPPER LEG (THIGH)	
90	flatten (dough)			???	
91	be numb			???	
92	ripen, ferment			???	
93	other (person)			???	
94	reflexive marker			???	
95	'people of’-suffix			???	
96	human being prefix			???	
97	borrow1 (return different)			???	
98	chicken			???	
99	needle	the needle (for sewing)	1382	NEEDLE (FOR SEWING)	
100	"swell; fill"			???	
101	full	full	1429	FULL	
102	four	four	1500	FOUR	
103	liver	the liver	1224	LIVER	
104	"spirit; shadow"			???	
105	excrement			???	
106	egg	the egg	744	EGG	
107	name	the name	1405	NAME	
108	pig	the pig	1337	PIG	
109	new	new	1231	NEW	
110	red	red	156	RED	
111	"healthy; strong"			???	
112	root	the root	670	ROOT	
113	man	the man (male human)	2106	MALE PERSON	male human or mankind?
114	flour			???	
115	cross (mountain)			???	
116	comb			???	
117	ride, mount (a horse)			???	
118	itch			???	
119	agent (ergative, subject) marker			???	
120	okay			???	
121	kill	to kill	1417	KILL	
122	see	to see	1409	SEE	
123	die	to die	1494	DIE	
124	three	three	492	THREE	
125	recognise			???	
126	dry (adj.)	dry	1398	DRY	
127	come	to come	1446	COME	
128	go			???	
129	say			???	
130	hide	to hide (conceal)	602	HIDE (CONCEAL)	
131	select			???	
132	fight, quarrel (n.)				unlinked
133	mushroom			???	
134	old	old (of person)	2112	OLD (AGED)	
135	achieve			???	
136	you (thou, 2sg)	thou [second person singular]	1215	THOU	
137	sago			???	
138	be sick			???	
139	fish	the fish	227	FISH	
140	language			???	
141	silver			???	
142	brain			???	
143	two	two	1498	TWO	
144	put on (shoes, pants)			???	
145	medicine			???	
146	many	many	1198	MANY	
147	beat			???	
148	sleep	to sleep	1585	SLEEP	
149	disease			???	
150	gums			???	
151	wind	the wind	960	WIND	
152	aconite			???	
153	ten	ten	1515	TEN	
154	search			???	
155	"face; thorax"			???	
156	hold	to hold	1448	HOLD	
157	white	white	1335	WHITE	
158	langur			???	
159	one	one	1493	ONE	
160	burn (vi)	to burn [intransitive]	1428	BURNING	
161	wood	the wood (material)	1803	WOOD	
162	salt	the salt	1274	SALT	
163	goral			???	
164	deer, sambar			???	
165	meet			???	
166	"fresh; wet"	wet	1726	WET	
167	paddy rice		2026	RICE PLANT	
168	seven	seven	1704	SEVEN	
169	exit			???	
170	"meat; animal"	the meat	634	MEAT	
171	animal prefix			???	
172	cross (river)			???	
173	fly (v)	to fly (move through air)	1441	FLY (MOVE THROUGH AIR)	
174	cliff			???	
175	buy	to buy	1869	BUY	
176	give	to give	1447	GIVE	
177	gall, bile			???	
178	burst, explode			???	
179	release			???	
180	precipitate (snow, rain, hail)				unlinked
181	suffice			???	
182	maize			???	
183	sweet			???	
184	melt			???	
185	sister-in-law			???	
186	laugh	to laugh	1355	LAUGH	
187	urine			???	
188	tear			???	
189	slow			???	
190	facial prefix			???	
191	pus			???	
192	"listen; heed"			???	
193	smell (vi, n)	to smell (perceive odor) [transitive]	1586	SMELL (PERCEIVE)	
194	blow (puff of air with mouth)				unlinked
195	path, road	the road	667	ROAD	
196	naga			???	
197	pour			???	
198	footwear			???	
199	plant (v)	to plant (vegetals, rice)	1486	PLANT (SOMETHING)	
200	perforate			???	
201	louse	the louse	1392	LOUSE	
202	blood	the blood	946	BLOOD	
203	like			???	
204	rot			???	
205	phlegm			???	
206	hand, arm	the hand	1277	HAND	
207	split lengthwise (bamboo)			???	
208	bird prefix1			???	
209	cattle			???	
210	pinch			???	
211	middle	middle	1093	MIDDLE	
212	buckwheat, sweet			???	
213	pine kindle			???	
214	cough (v)			???	
215	rain		658	RAIN (PRECIPITATION)	
216	daughter-in-law			???	
217	boil water (v)			???	
218	"wait; guard"			???	
219	fast			???	
220	parch, fry			???	
221	bitter (vi)			???	
222	six	six	1703	SIX	
223	fishing net			???	
224	heat up (v)			???	
225	thin	thin (object)	2249	THIN (OF SHAPE OF OBJECT)	
226	need			???	
227	taro			???	
228	weed			???	
229	tuber			???	
230	swallow (v)			???	
231	mud	the mud	640	MUD	
232	black	black	163	BLACK	
233	excrete (urine, stool)			???	
234	stay, reside, live	to reside (live)	363	DWELL (LIVE, RESIDE)	
235	fingernail			???	
236	hatch			???	
237	cold	cold (of temperature)	1287	COLD	
238	ant	the ant	587	ANT	
239	ask			???	
240	grind			???	
241	soybean			???	
242	mountain	the mountain	639	MOUNTAIN	
243	leg, foot	the foot	1301	FOOT	
244	penis			???	
245	lick	to lick	319	LICK	
246	borrow2 (return same)			???	
247	tongue	the tongue	1205	TONGUE	
248	ablative marker			???	
249	soak in water			???	
250	beautiful			???	
251	have intercourse			???	
252	be cold				unlinked
253	field			???	
254	do			???	
255	brother-in-law			???	
256	he, she (3sg)	he or she [third person singular]	262	HE OR SHE OR IT	
257	plough			???	
258	ripe			???	
259	wife	the wife	1199	WIFE	
260	flee			???	
261	want			???	
262	be late	late	477	LATE	
263	load (n.)			???	
264	wake up			???	
265	stone	the stone (a piece of)	857	STONE	
266	leaf	the leaf	628	LEAF	
267	bow			???	
268	spicy, pungent			???	
269	thread			???	
270	bird	the bird	937	BIRD	
271	straight	straight	1404	STRAIGHT	
272	long	long	1203	LONG	
273	reap			???	
274	house	the house	1252	HOUSE	
275	clothing			???	
276	wear			???	
277	steal	to steal	713	STEAL	
278	yesterday	yesterday	1174	YESTERDAY	
279	thief			???	
280	walk, move, go	to walk	1443	WALK	
281	be ashamed, shy	shy	487	SHY	
282	dig1 (spade, flat hoe)		1418	DIG	
283	chest			???	
284	chin			???	
285	count	to count	1420	COUNT	
286	eight	eight	1705	EIGHT	
287	boil (n)			???	
288	tell			???	
289	mortar			???	
290	stab			???	
291	out, outside	outside	762	OUTSIDE	
292	make				
293	tingle				
294	grain prefix				
295	cook (solid vegetable in water)				
296	you (2pl)	you [second person plural]	1213	YOU	
297	plural marker				
298	after				
299	behind				
300	arrive				
301	arrow				
302	associative marker				
303	bad1 (poor, weak)				
304	bad2 (not ‘good’)	BAD	1292	BAD	
305	bamboo	the bamboo	1927	BAMBOO	
306	bastard				
307	bear				
308	bee1 (wax bee)				
309	bee2 (honey bee, honey)				
310	beer filter				
311	belly, abdomen	the belly	1251	BELLY	
312	drink	to drink	1401	DRINK	
313	breast, milk	the breast (female)	1402	BREAST	
314	belt			???	
315	bite	to bite	1403	BITE	
316	bracelet			???	
317	marrow			???	
318	bridge			???	
319	bridge, hanging			???	
320	brother, younger			???	
322	butter			???	
323	cap, hat			???	
324	cat			???	
325	charcoal			???	
326	child	the child (young human)	1304	CHILD (YOUNG HUMAN)	
327	copula, negative			???	
328	corpse			???	
329	cucumber			???	
330	daughter	the daughter	1357	DAUGHTER	
331	day after tomorrow			???	
332	day before yesterday			???	
333	day before two days			???	
334	descend			???	
335	till soil (hoe)			???	
336	dog	the dog	2009	DOG	
337	dry (vi)				unlinked
338	dual marker			???	
339	eagle, buzzard			???	
340	eat	to eat	1336	EAT	
341	eggplant			???	
342	eye	the eye	1248	EYE	
343	fall2 (on a level surface)			???	
344	fall3 (someone, from a height)			???	
345	fat (n)			???	
346	father	the father	1217	FATHER	
347	female			???	
348	mother	the mother	1216	MOTHER	
349	female (of a species)			???	
350	fern, fiddlehead			???	
351	fetch			???	
352	flame			???	
353	fodder			???	
354	frog	the frog	503	FROG	
355	frost	the frost	2034	FROST	
356	friend			???	
357	goitre			???	
358	good	good	1035	GOOD	
359	gourd (bottle)			???	
360	grandmother			???	
361	hair (head)	the hair (of the head)	1040	HAIR	
362	"hair (body); feather"	the body hair (hair or fur)	189	HAIR (BODY)	
363	head	the head	1256	HEAD	
364	heart	the heart	1223	HEART	
365	heavy	heavy	1210	HEAVY	
366	hornet			???	
367	husband	the husband	1200	HUSBAND	
368	imperative marker			???	
369	Indo-Aryan people			???	
370	insect			???	
371	keep			???	
372	Khoitam people			???	
374	ladder			???	
375	cover (mouth)			???	
376	lift completely, carry			???	
377	soup, liquid, broth, juice			???	
378	male (adj)			???	
379	patient (dative, object) marker			???	
380	manure			???	
381	millet, broomcorn			???	
382	mithun			???	
383	mouth	the mouth	674	MOUTH	
384	neck	the neck	1333	NECK	
385	nine	nine	1483	NINE	
386	nomen agentis marker			???	
387	nominalising marker			???	
388	noon, midday	noon	12	MIDDAY	
389	nose	the nose	1221	NOSE	
390	palm (hand)			???	
391	partridge			???	
392	pillow			???	
393	plait (hair, cane)			???	
394	play	to play	1413	PLAY	
395	potato bean			???	
396	present marker			???	
397	pull (at something fixed)	to pull	1455	PULL	
398	pull along (something mobile)			???	
399	Puroik people			???	
400	put into			???	
401	fight, quarrel (v)	to fight	1423	FIGHT	
402	quiver			???	
403	radish			???	
404	Rahung people			???	
405	roof			???	
406	rib			???	
407	food			???	
408	right (side)	right	1019	RIGHT	
409	same, equal			???	
410	scratch (with nails, hoofs)	to scratch	1436	SCRATCH	
411	rub (with palms, fingers, feet)			???	
412	seed	the seed	714	SEED	
413	serow			???	
414	settle			???	
415	shade			???	
416	shake (something)			???	
417	sharp (blade of knife, axe)	sharp	1396	SHARP	
418	pointed (tip of knife, arrow)			???	
419	sharpen (knife)			???	
420	sheep	the sheep	1331	SHEEP	
421	shelf			???	
422	shoulder	the shoulder	1482	SHOULDER	
423	sister, younger (of male)			???	
424	sister, younger (of female)			???	
425	sit (down)			???	
426	sky	the sky	1732	SKY	
427	smoke	the smoke	778	SMOKE (EXHAUST)	
428	soda ash			???	
429	son-in-law			???	
430	spear			???	
431	stick	the stick	1295	STICK	
432	tail	the tail	1220	TAIL	
433	that side1			???	
434	that side2			???	
435	thirsty			???	
436	thorn			???	
437	today	today	1283	TODAY	
438	tomorrow	tomorrow	1329	TOMORROW	
439	tooth	the tooth (front)	1380	TOOTH	
440	stump (tree)			???	
441	trivet			???	
442	iron			???	
443	vegetable (green, leafy)			???	
444	green	green	1425	GREEN	
445	veranda			???	
446	village			???	
447	waist			???	
448	wait for			???	
449	walnut			???	
450	warm, hot	hot	1286	HOT	
451	wash (utensils, clothes)			???	
452	wash (body)			???	
453	who	who	1235	WHO	
454	woman	the woman	962	WOMAN	
455	wool			???	
456	word			???	
457	year, next year	the year	1226	YEAR	
458	afternoon			???	
459	all	all	98	ALL	
460	angry (vi)			???	
461	attic			???	
462	back (n)			???	
463	body			???	
464	banana			???	
465	branch	the branch	1531	BRANCH	
466	bring			???	
467	buffalo			???	
468	Bugun people			???	
469	civet cat or spotted wild cat			???	
470	palm civet			???	
471	clean			???	
472	clitoris			???	
473	cloud, mist, fog	the fog	249	FOG	
474	creeper, vine			???	
475	crow			???	
476	cut			???	
477	dance (v)			???	
478	deep			???	
479	dirty	dirty	1230	DIRTY	
480	dog (wild), dhole				unlinked
481	elephant			???	
482	empty			???	
483	far	far	1406	FAR	
484	fear (vi)			???	
485	few, little2			???	
486	fly (n)				unlinked
487	forest	the forest	420	FOREST	
488	fruit	the fruit	1507	FRUIT	
489	frying pan			???	
490	garlic			???	
491	goat	the goat	1502	GOAT	
492	grandfather1			???	
493	grandfather2			???	
494	hail	the hail	609	HAIL	
495	hard	hard	1884	HARD	
496	ice	the ice	617	ICE	
497	in, inside	inside	1606	INSIDE	
498	intestines			???	
499	Jerigaon people			???	
500	jump			???	
501	knee	the knee	1371	KNEE	
502	leech, land			???	
503	leech, water	the water	948	WATER	
504	lie (n)			???	
505	lie (v)			???	
506	"speak; scold"			???	
507	light	light (of weight)	1052	LIGHT (WEIGHT)	
508	look			???	
509	lungs	the lung	688	LUNG	
510	Miji people			???	
511	Khoina people			???	
512	Hruso people			???	
513	millet, finger			???	
514	morning	morning	1339	MORNING	
515	otter	the otter	15	OTTER	
516	pangolin			???	
517	pheasant, kalij			???	
518	pumpkin			???	
519	rainbow	the rainbow	1733	RAINBOW	
520	rub			???	
521	sand	the sand	671	SAND	
522	Sherdukpen people			???	
523	short	short	1645	SHORT	
524	smell (vi)	to smell (perceive odor) [transitive]	1586	SMELL (PERCEIVE)	
525	snake	the snake	730	SNAKE	
526	snow	the snow	784	SNOW	
527	soft, smooth	soft	1856	SOFT	
528	sour			???	
529	sow (full hands)	to sow (broadcast, scatter seeds)	748	SOW SEEDS	
530	spit (v)	to spit	1440	SPIT	
531	squirrel			???	
532	flying squirrel			???	what’s the differences between squirrel and flying squirrel? (just curious) 
533	star	the star	1430	STAR	
534	stitch, sew1			???	
535	stitch, sew2			???	
536	suck1			???	
537	suck2			???	
538	sugarcane			???	
539	sun, day1	the sun	1343	SUN	
540	sun, day2				unlinked
541	takin			???	
542	that	that	78	THAT	
543	thing			???	
544	think	to think (reflect)	1415	THINK (REFLECT)	
545	thunder (vi)	the thunder	1150	THUNDER	
546	tiger	the tiger	846	TIGER	
547	trunk (tree)			???	
548	up there (invisible)			???	
549	up there (visible)			???	
550	vomit	to vomit	1278	VOMIT	
551	walking stick			???	
552	barley		932	BARLEY	
553	wing	the wing	1257	WING	
554	wipe	to wipe	1454	WIPE	
555	yellow	yellow	1424	YELLOW	
556	chili			???	
557	black gram			???	
558	window			???	
559	vagina			???	
560	above, top	above	1741	ABOVE	
561	amaranth			???	
562	cure, heal (vi)			???	
563	Namshu people			???	
564	now			???	
565	pound (mortar, hard)				unlinked
566	pound (mortar, gently)			???	
567	prepare warp			???	
568	small1			???	
569	small2	small	1246	SMALL	small 1 or small 2 is small?
570	steam			???	
572	cotton			???	
573	song			???	
574	deity, ghost			???	
575	rice, husked				unlinked
576	bat			???	
577	beans			???	
578	peas			???	
579	butterfly			???	
580	uproot			???	
581	tusk			???	
582	tie (v)			???	
583	this	this	1214	THIS	
584	separate, split			???	
585	run	to run	1519	RUN	
586	left side		244	LEFT	
587	flow	to flow	2003	FLOW	
588	face (‘wash face’)			???	
589	Sichuan pepper			???	
590	leather strap			???	
591	batten			???	
592	machete			???	
593	question marker			???	
594	buckwheat, bitter			???	
595	tired (v)			???	
596	few, little1			???	
597	lightning			???	
598	slip			???	
599	shake, tremor			???	
600	fall1 (something, from a height)			???	
601	spill			???	
602	Rupa people			???	
603	hornbill (small)			???	
604	hornbill (giant)			???	
605	falcon			???	
606	elbow			???	
607	fence (v.)			???	
608	turn inside out			???	
609	wet	wet	1726	WET	
610	blow (wind)	to blow (of wind)	175	BLOW (OF WIND)	
611	take off (clothes)			???	
612	cockroach			???	
613	beer strainer			???	
614	gold			???	
615	hunter			???	
616	jackal			???	
617	kiss			???	
618	leaf litter			???	
619	Monpa people			???	
620	oil			???	
621	soil, earth	the earth (soil)	1228	EARTH (SOIL)	
622	dance (n)			???	
623	thousand			???	
624	together with			???	
625	twenty	twenty	1710	TWENTY	
626	comparative degree marker			???	
627	story			???	
628	Thembang people			???	
629	gather, collect2			???	
630	pheasant, tragopan			???	
631	wealthy			???	
632	allative			???	
633	shell (maize)			???	although no concept can be mapped, but is it also a type of “husk”??
634	halt, stop			???	
635	Shergaon people			???	
636	surround, confine			???	
637	year, this year	the year	1226	YEAR	
638	strong (of liquor)			???	
639	mountain peak			???	
640	squeeze			???	
644	here	here	136	HERE	
651	adjective/adverb marker			???	
652	Phu deity			???	
653	Da deity			???	
654	hundred	hundred	1634	HUNDRED	
655	we (1pl)	we [first person plural inclusive]	1131	WE (INCLUSIVE)	
656	they (3pl)			???	
657	cheek			???	
658	placenta			???	
659	pestle			???	
660	ring (on finger)			???	
661	eleven			???	
663	close, near	near	1942	NEAR	
664	before, front	the front (front side)	2194	FRONT (PART)	
666	unripe			???	
667	flower	the flower	239	FLOWER	
668	bird prefix2			???	
669	onion			???	
671	beard			???	
672	sweat			???	
673	mosquito	the mosquito	1509	MOSQUITO	
674	dust	the dust	2	DUST	
675	kidney			???	
676	stomach			???	
677	lake	the lake	624	LAKE	
678	river	the river	666	RIVER	
679	pigeon			???	
680	owl			???	
681	cheese			???	
682	hammer			???	
683	knife	knife	1352	KNIFE	
684	spoon			???	
685	blanket			???	
686	broom			???	
687	mattress			???	
688	round	round	1395	ROUND	
689	how			???	
690	what	what	1236	WHAT	
691	how many			???	
692	where	where	1237	WHERE	
693	Tibetan			???	
694	correct	correct (right)	1725	CORRECT (RIGHT)	
695	dew	the dew	1977	DEW	
			1886	ARMPIT	
			932	BARLEY (?)	you have a ‘barley’, but does it relates to something like barley in tibetan?
			1422	BE ALIVE	
			1428	BURNING	
			1489	CLOUD	
			706	DARK	
			672	EARLY	
			2350	EARTHWORM	
	"feather; body hair"		1201	FEATHER	duplicate the body hair
			10	FIREWOOD	
			232	FLEA	
			1574	FLOAT	
			1312	FOX	
			606	GRASS	
			1408	HEAR	
			1265	HIGH	
			152	HOOF	
			2376	HORIZONTAL	
			1634	HUNDRED	
			274	KNEAD	
			504	LEARN	
			215	LIE DOWN	
			478	LIP	
			2164	MARRY (AS MAN)	
			2128	CLAW OR NAIL	
			1267	NARROW	
			267	NIT	
			1091	SALTY	
			1474	SEA	
			341	SICKLE	
	"smooth; soft"		1234	SMOOTH	duplicate soft
			1854	SPARROW	
			843	SPIDER	
			1442	STAND	I link it with ‘stand up’, but I am not sure
			1937	THERE	
			906	TREE	
			1077	WHEAT	
			522	WOLF	
			1207	YOUNG	
			676	SHIT (DEFECATE)	