Language_ID	Language_Name	Subgroup	Glottocode	Source
BhutanTshangla	Bhutan Tshangla	Bodic	tsha1245	Bodt fieldwork
BodicTshangla	Bodic Tshangla	Bodic	tsha1245	
BuluPuroik	Bulu Puroik	WesternKhonBwa	bulu1255	Lieberherr2017
BurmishAchang	Achang	Burmish	acha1249	Huang1992,Hill2017
BurmishAtsi	Atsi	Burmish	zaiw1241	
BurmishBola	Bola	Burmish	pela1242	
BurmishLashi	Lashi	Burmish	lash1243	
BurmishMaru	Maru	Burmish	maru1249	
BurmishOldBurmese	Old Burmese	Burmish	oldb1235	
BurmishRangoon	Rangoon	Burmish	nucl1310	
BurmishXiandao	Xiandao	Burmish	xian1249	
ChepangChepang	Chepang	Chepang	chep1245	
ChinHakha	Hakha	Chin	haka1240	
DengDarangTaraon	Darang Taraon	Deng	diga1241	
DengYidu	Yidu	Deng	idum1241	
DikhyangBugun	Dikhyang Bugun	WesternKhonBwa	dikh1234	Bodt fieldwork
Duhumbi	Duhumbi	WesternKhonBwa	chug1252	Bodt fieldwork
GaroGaro	Garo	Garo	garo1247	
Jerigaon	Jerigaon	WesternKhonBwa	jeri1243	
JingphoJingpho	Jingpho	Jingpho	jing1260	
Karbi	Karbi	Mizo	karb1241	
Khispi	Khispi	WesternKhonBwa	lish1235	Bodt fieldwork
Khoina	Khoina	WesternKhonBwa	khoi1253	Bodt fieldwork
Khoitam	Khoitam	WesternKhonBwa	khoi1252	Bodt fieldwork
KhroskyabsWobzi	Khroskyabs Wobzi	rGyalrong	eree1240	
KirantiBahing	Bahing	Kiranti	bahi1252	
KirantiBantawa	Bantawa	Kiranti	bant1281	
KirantiHayu	Hayu	Kiranti	wayu1241	
KirantiKhaling	Khaling	Kiranti	khal1275	
KirantiKulung	Kulung	Kiranti	kulu1253	
KirantiLimbu	Limbu	Kiranti	limb1266	
KirantiThulung	Thulung	Kiranti	thul1246	
KusundaK	Kusunda	Kusunda	kusu1250	
LoloishLisu	Lisu	Loloish	lisu1250	
MizoLushai	Lushai	Mizo	lush1249	
NagaUkhrul	Ukhrul	Naga	ukhr1238	
NungicDulong	Dulong	Nungic	drun1238	
QiangicZhaba	Zhaba	Qiangic	zhab1238	
Rabha	Rabha	Rabha	rabh1238	
Rahung	Rahung	WesternKhonBwa	rahu1234	Bodt fieldwork
rGyalrongDaofu	Daofu	rGyalrong	horp1240	
rGyalrongJaphug	Japhug	rGyalrong	japh1234	
rGyalrongMaerkang	Marerkang	rGyalrong	situ1238	
Rupa	Rupa	WesternKhonBwa	rupa1234	Bodt fieldwork
Shergaon	Shergaon	WesternKhonBwa	sher1261	Bodt fieldwork
SiniticBeijing	Beijing	Sinitic	beij1235	
SiniticChaozhou	Chaozhou	Sinitic	chao1238	
SiniticGuangzhou	Guangzhou	Sinitic	guan1279	
SiniticJieyang	Jieyang	Sinitic	chao1239	
SiniticLonggang	Longgang	Sinitic	hakk1236	
SiniticOldChinese	Old Chinese	Sinitic	oldc1244	
SiniticXingning	Xinging	Sinitic	hakk1236	
Tangut	Tangut	Tangut	tang1334	
TaniBokar	Bokar	Tani	boka1249	
TibetanAlike	Alike	Tibetan	amdo1237	
TibetanBatang	Batang	Tibetan	kham1282	
TibetanLhasa	Lhasa	Tibetan	utsa1239	
TibetanOldTibetan	Old Tibetan	Tibetan	clas1254	
TibetanXiahe	Xiahe	Tibetan	amdo1237	
TibetoKinauriBunan	Bunan	TibetoKinauri	gahr1239	
TibetoKinauriByangsi	Byangsi	TibetoKinauri	byan1241	
TibetoKinauriRongpo	Rongpo	TibetoKinauri	rong1264	
TaniGalo	Galo	Tani	galo1242	Post07
Bangru	Bangru	Hrusish	bang1369	
WesternMiji	Western Miji	Hrusish	west2937	
HrusoAka	Hruso Aka	Hrusish		
EasternMiji	Eastern Miji	Hrusish	east2847	
Bumthang	Bumthang	East Bodish	khen1241	
Kurtoep	Kurtoep	East Bodish		
Khengkha	Khengkha	East Bodish	khen1241	
MamaCuonaMenba	Tshona Dakpa	East Bodish		LS2002
WenlangMenba	Tawang Dakpa	East Bodish		LS2002
DirangTshangla 	Dirang Tshangla	Bodic	dira1243	TB
PWKB	Proto-Western Kho-Bwa	Kho-Bwa		
PH	Proto-Hrusish	Hrusish		