ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	COGID	LOAN	SOURCE	NOTES	MORPHEMES
9598	135_themud	the mud	DikhyangBugun	Bugun	ka.ɕɔŋ	ka.ɕɔŋ	k a + ɕ ɔ ŋ	dikh1234	640	27.320448	92.454924	960	960	FALSE	TB		_themud _themud
9670	136_thenailfingernailorclaw	the nail (fingernail or claw)	DikhyangBugun	Bugun	bə.sɛn	bə.sɛn	b ə + s ɛ n	dikh1234	2128	27.320448	92.454924	88	88	FALSE	TB		_thenailfingernailorclaw _thenailfingernailorclaw
9749	137_thename	the name	DikhyangBugun	Bugun	ə.bɛŋ	ə.bɛŋ	ə + b ɛ ŋ	dikh1234	1405	27.320448	92.454924	18	18	FALSE	TB		_thename _thename
9975	140_theneck	the neck	DikhyangBugun	Bugun	ra.guŋ ju.ŋã	ra.guŋ_ju.ŋã	r a + g u ŋ + j u + ŋ ã	dikh1234	1333	27.320448	92.454924	971	971	FALSE	TB		_theneck _theneck _theneck _theneck
10056	141_theneedleforsewing	the needle (for sewing)	DikhyangBugun	Bugun	sə.mɛn	sə.mɛn	s ə + m ɛ n	dikh1234	1382	27.320448	92.454924	819	819	FALSE	TB		_theneedleforsewing _theneedleforsewing
10380	146_thenose	the nose	DikhyangBugun	Bugun	e.pʰuŋ	e.pʰuŋ	e + pʰ u ŋ	dikh1234	1221	27.320448	92.454924	2108	2108	FALSE	TB		_thenose _thenose
10611	149_theotter	the otter	DikhyangBugun	Bugun	ũ.mɔk	ũ.mɔk	ũ + m ɔ k	dikh1234	15	27.320448	92.454924	156	156	FALSE	TB		_theotter _theotter
10732	151_thepig	the pig	DikhyangBugun	Bugun	wɔk	wɔk	w ɔ k	dikh1234	1337	27.320448	92.454924	2092	2092	FALSE	TB		thepig
11104	156_therain	the rain	DikhyangBugun	Bugun	ha.pʰʲɛ	ha.pʰʲɛ	h a + pʰ j ɛ	dikh1234	658	27.320448	92.454924	982	982	FALSE	TB		_therain _therain
11182	157_therainbow	the rainbow	DikhyangBugun	Bugun	pʰa.ruaŋ ma.kʰuaŋ	pʰa.ruaŋ_ma.kʰuaŋ	pʰ a + r u/w a ŋ + m a + kʰ u/w a ŋ	dikh1234	1733	27.320448	92.454924	987	987	FALSE	TB		_therainbow _therainbow _therainbow _therainbow
11410	160_thericeplant	the rice plant	DikhyangBugun	Bugun	ɲɛn.kau	ɲɛn.kau	ɲ ɛ n + k au	dikh1234	2026	27.320448	92.454924	9001	9001	FALSE	TB		_thericeplant _thericeplant
11538	162_theriver	the river	DikhyangBugun	Bugun	kʰo.bo	kʰo.bo	kʰ o + b o	dikh1234	666	27.320448	92.454924	995	995	FALSE	TB		_theriver _theriver
11619	163_theroad	the road	DikhyangBugun	Bugun	lə.muə	lə.muə	l ə + m u/w ə	dikh1234	667	27.320448	92.454924	2206	2206	FALSE	TB		_theroad _theroad
11696	164_theroot	the root	DikhyangBugun	Bugun	ə.rəŋ	ə.rəŋ	ə + r ə ŋ	dikh1234	670	27.320448	92.454924	225	225	FALSE	TB		_theroot _theroot
11773	165_therope	the rope	DikhyangBugun	Bugun	ra.tʰɔŋ	ra.tʰɔŋ	r a + tʰ ɔ ŋ	dikh1234	1218	27.320448	92.454924	1011	1011	FALSE	TB		_therope _therope
11993	168_thesalt	the salt	DikhyangBugun	Bugun	sə.ruə	sə.ruə	s ə + r u/w ə	dikh1234	1274	27.320448	92.454924	1017	1017	FALSE	TB		_thesalt _thesalt
12122	170_thesand	the sand	DikhyangBugun	Bugun	ba.li	ba.li	b a + l i	dikh1234	671	27.320448	92.454924	10565	10565	TRUE	TB		_thesand _thesand
12393	174_theseed	the seed	DikhyangBugun	Bugun	ə.raj	ə.raj	ə + r a j	dikh1234	714	27.320448	92.454924	4165	4165	FALSE	TB		_theseed _theseed
12608	177_thesheep	the sheep	DikhyangBugun	Bugun	sə.ɕuɛ	sə.ɕuɛ	s ə + ɕ u/w ɛ	dikh1234	1331	27.320448	92.454924	3028	3028	FALSE	TB		_thesheep _thesheep
17802	250_theshit	the shit	DikhyangBugun	Bugun	əɛ̃	əɛ̃	ə ɛ̃	dikh1234	676	27.320448	92.454924	120	120	FALSE	TB		theshit
12816	180_theshoulder	the shoulder	DikhyangBugun	Bugun	pʰa.bum	pʰa.bum	pʰ a + b u m	dikh1234	1482	27.320448	92.454924	10168	10168	FALSE	TB		_theshoulder _theshoulder
13138	185_theskin	the skin	DikhyangBugun	Bugun	e.kʰuk	e.kʰuk	e + kʰ u k	dikh1234	763	27.320448	92.454924	689	689	FALSE	TB		_theskin _theskin
13217	186_thesky	the sky	DikhyangBugun	Bugun	ha.maw	ha.maw	h a + m au	dikh1234	1732	27.320448	92.454924	499	499	FALSE	TB		_thesky _thesky
13518	190_thesmoke	the smoke	DikhyangBugun	Bugun	ba.kʰaw	ba.kʰaw	b a + kʰ au	dikh1234	778	27.320448	92.454924	68	68	FALSE	TB		_thesmoke _thesmoke
13661	192_thesnake	the snake	DikhyangBugun	Bugun	pʰaw	pʰaw	pʰ au	dikh1234	730	27.320448	92.454924	3590	3590	FALSE	TB		thesnake
13739	193_thesnow	the snow	DikhyangBugun	Bugun	ha.jyn	ha.jyn	h a + j y n	dikh1234	784	27.320448	92.454924	3886	3886	FALSE	TB		_thesnow _thesnow
13885	195_theson	the son	DikhyangBugun	Bugun	do.hua	do.hua	d o + h u/w a	dikh1234	1620	27.320448	92.454924	1075	1075	FALSE	TB		_theson _theson
13961	196_thesparrow	the sparrow	DikhyangBugun	Bugun	tsʰe.la.luŋ	tsʰe.la.luŋ	tsʰ e + l a + l u ŋ	dikh1234	1854	27.320448	92.454924	6022	6022	FALSE	TB		_thesparrow _thesparrow _thesparrow
14008	197_thespider	the spider	DikhyangBugun	Bugun	sar.kaw	sar.kaw	s a r + k au	dikh1234	843	27.320448	92.454924	1096	1096	FALSE	TB		_thespider _thespider
14236	200_thestar	the star	DikhyangBugun	Bugun	tsa.trɔŋ	tsa.trɔŋ	ts a + t r ɔ ŋ	dikh1234	1430	27.320448	92.454924	1114	1114	FALSE	TB		_thestar _thestar
14389	202_thestick	the stick	DikhyangBugun	Bugun	tʰa.gyn	tʰa.gyn	tʰ a + g y n	dikh1234	1295	27.320448	92.454924	1129	1129	FALSE	TB		_thestick _thestick
14459	203_thestoneapieceof	the stone (a piece of)	DikhyangBugun	Bugun	lə.bau	lə.bau	l ə + b au	dikh1234	857	27.320448	92.454924	81	81	FALSE	TB		_thestoneapieceof _thestoneapieceof
14605	205_thesun	the sun	DikhyangBugun	Bugun	ha.nɛŋ	ha.nɛŋ	h a + n ɛ ŋ	dikh1234	1343	27.320448	92.454924	1131	1131	FALSE	TB		_thesun _thesun
14683	206_thetail	the tail	DikhyangBugun	Bugun	ə.ɲuj	ə.ɲuj	ə + ɲ u j	dikh1234	1220	27.320448	92.454924	84	84	FALSE	TB		_thetail _thetail
15030	211_thethigh	the thigh	DikhyangBugun	Bugun	la.pʰɔk	la.pʰɔk	l a + pʰ ɔ k	dikh1234	471	27.320448	92.454924	1149	1149	FALSE	TB		_thethigh _thethigh
15545	218_thethunder	the thunder	DikhyangBugun	Bugun	ha.kʰlam	ha.kʰlam	h a + kʰ l a m	dikh1234	1150	27.320448	92.454924	1154	1154	FALSE	TB		_thethunder _thethunder
15621	219_thetiger	the tiger	DikhyangBugun	Bugun	mɔ̃	mɔ̃	m ɔ̃	dikh1234	846	27.320448	92.454924	1237	1237	FALSE	TB		thetiger
15853	222_thetongue	the tongue	DikhyangBugun	Bugun	ryj	ryj	r y j	dikh1234	1205	27.320448	92.454924	4190	4190	FALSE	TB		thetongue
15930	223_thetoothfront	the tooth (front)	DikhyangBugun	Bugun	ɕi.ɲɛn	ɕi.ɲɛn	ɕ i + ɲ ɛ n	dikh1234	1380	27.320448	92.454924	1162	1162	FALSE	TB		_thetoothfront _thetoothfront
16008	224_thetree	the tree	DikhyangBugun	Bugun	hiŋ+mua	hiŋ+mua	h i ŋ + m u/w a	dikh1234	906	27.320448	92.454924		0	FALSE	TB		_thetree _thetree
16374	229_thewater	the water	DikhyangBugun	Bugun	kʰo	kʰo	kʰ o	dikh1234	948	27.320448	92.454924	1425	1425	FALSE	TB		thewater
16936	237_thewife	the wife	DikhyangBugun	Bugun	ɲie	ɲie	ɲ i e	dikh1234	1199	27.320448	92.454924	1177	1177	FALSE	TB		thewife
17009	238_thewind	the wind	DikhyangBugun	Bugun	ha.sam	ha.sam	h a + s a m	dikh1234	960	27.320448	92.454924	206	206	FALSE	TB		_thewind _thewind
17088	239_thewing	the wing	DikhyangBugun	Bugun	ə.jik	ə.jik	ə + j i k	dikh1234	1257	27.320448	92.454924	1187	1187	FALSE	TB		_thewing _thewing
17270	242_thewoman	the woman	DikhyangBugun	Bugun	a.mua.pʰam	a.mua.pʰam	a + m u/w a + pʰ a m	dikh1234	962	27.320448	92.454924	1196	1196	FALSE	TB		_thewoman _thewoman _thewoman
17352	243_thewoodmaterial	the wood (material)	DikhyangBugun	Bugun	hiŋ	hiŋ	h i ŋ	dikh1234	1803	27.320448	92.454924	8175	8175	FALSE	TB		thewoodmaterial
17464	245_theyear	the year	DikhyangBugun	Bugun	tau.dʑa	tau.dʑa	t au + dʑ a	dikh1234	1226	27.320448	92.454924	2220	2220	FALSE	TB		_theyear _theyear
14899	209_there	there	DikhyangBugun	Bugun	də+sɔ̃	də+sɔ̃	d ə + s ɔ̃	dikh1234	1937	27.320448	92.454924		0	FALSE	TB		_there _there
14963	210_thick	thick	DikhyangBugun	Bugun	ə.kʰla.bou	ə.kʰla.bou	ə + kʰ l a + b ou	dikh1234	1244	27.320448	92.454924	457	457	FALSE	TB		_thick _thick _thick
15094	212_thinobject	thin (object)	DikhyangBugun	Bugun	ə.tɕʰɔ̃.dua	ə.tɕʰɔ̃.dua	ə + tɕʰ ɔ̃ + d u/w a	dikh1234	2249	27.320448	92.454924	466	466	FALSE	TB		_thinobject _thinobject _thinobject
15244	214_this	this	DikhyangBugun	Bugun	hej.pʰo.mo.no	hej.pʰo.mo.no	h e j + pʰ o + m o + n o	dikh1234	1214	27.320448	92.454924	467	467	FALSE	TB		_this _this _this _this
15312	215_thousecondpersonsingular	thou [second person singular]	DikhyangBugun	Bugun	nɔ	nɔ	n ɔ	dikh1234	1215	27.320448	92.454924	10475	10475	FALSE	TB		thousecondpersonsingular
15388	216_three	three	DikhyangBugun	Bugun	ũm	ũm	ũ m	dikh1234	492	27.320448	92.454924	283	283	FALSE	TB		three
473	8_tobealive	to be alive	DikhyangBugun	Bugun	ə+kɔŋ	ə+kɔŋ	ə + k ɔ ŋ	dikh1234	1422	27.320448	92.454924		0	FALSE	TB		_tobealive _tobealive
853	13_tobite	to bite	DikhyangBugun	Bugun	kʰrik	kʰrik	kʰ r i k	dikh1234	1403	27.320448	92.454924	474	474	FALSE	TB		tobite
1437	21_toburnintransitive	to burn [intransitive]	DikhyangBugun	Bugun	hõe	hõe	h õe	dikh1234	1428	27.320448	92.454924	1563	1563	FALSE	TB		toburnintransitive
1512	22_tobuy	to buy	DikhyangBugun	Bugun	pʰɛk	pʰɛk	pʰ ɛ k	dikh1234	1869	27.320448	92.454924	685	685	FALSE	TB		tobuy
1883	27_tocome	to come	DikhyangBugun	Bugun	tʰa.wuə	tʰa.wuə	tʰ a + w u/w ə	dikh1234	1446	27.320448	92.454924	498	498	FALSE	TB		_tocome _tocome
2027	29_tocount	to count	DikhyangBugun	Bugun	tʰa u	tʰa_u	tʰ a + u	dikh1234	1420	27.320448	92.454924	500	500	FALSE	TB		_tocount _tocount
2099	30_tocryweep	to cry (weep)	DikhyangBugun	Bugun	ʨʰõ	ʨʰõ	tɕʰ õ	dikh1234	1839	27.320448	92.454924	504	504	FALSE	TB		tocryweep
2381	34_todie	to die	DikhyangBugun	Bugun	i	i	i	dikh1234	1494	27.320448	92.454924	163	163	FALSE	TB		todie
2462	35_todig	to dig	DikhyangBugun	Bugun	tɕʰok	tɕʰok	tɕʰ o k	dikh1234	1418	27.320448	92.454924	510	510	FALSE	TB		todig
2756	39_todrink	to drink	DikhyangBugun	Bugun	naŋ	naŋ	n a ŋ	dikh1234	1401	27.320448	92.454924	516	516	FALSE	TB		todrink
3257	46_toeat	to eat	DikhyangBugun	Bugun	tsʲə	tsʲə	ts j ə	dikh1234	1336	27.320448	92.454924	3419	3419	FALSE	TB		toeat
4192	59_tofloat	to float	DikhyangBugun	Bugun	kʰo+ɕa	kʰo+ɕa	kʰ o + ɕ a	dikh1234	1574	27.320448	92.454924		0	FALSE	TB		_tofloat _tofloat
4255	60_toflow	to flow	DikhyangBugun	Bugun	kʰo roɛ	kʰo_roɛ	kʰ o + r oɛ	dikh1234	2003	27.320448	92.454924	525	525	FALSE	TB		_toflow _toflow
4389	62_toflymovethroughair	to fly (move through air)	DikhyangBugun	Bugun	kʰe	kʰe	kʰ e	dikh1234	1441	27.320448	92.454924	528	528	FALSE	TB		toflymovethroughair
4678	66_toforget	to forget	DikhyangBugun	Bugun	bĩ.jə	bĩ.jə	b ĩ + j ə	dikh1234	1523	27.320448	92.454924	531	531	FALSE	TB		_toforget _toforget
5224	74_togive	to give	DikhyangBugun	Bugun	pʰi	pʰi	pʰ i	dikh1234	1447	27.320448	92.454924	1913	1913	FALSE	TB		togive
6069	85_tohear	to hear	DikhyangBugun	Bugun	nu ə.rək	nu_ə.rək	n u + ə + r ə k	dikh1234	1408	27.320448	92.454924	3004	3004	FALSE	TB		_tohear _tohear _tohear
6361	89_tohideconceal	to hide (conceal)	DikhyangBugun	Bugun	uk	uk	u k	dikh1234	602	27.320448	92.454924	533	533	FALSE	TB		tohideconceal
6502	91_tohold	to hold	DikhyangBugun	Bugun	zum	zum	z u m	dikh1234	1448	27.320448	92.454924	1215	1215	FALSE	TB		tohold
7028	99_tohunt	to hunt	DikhyangBugun	Bugun	ɕa+pɔ+ wuə	ɕa+pɔ+_wuə	ɕ a + p ɔ + + w u/w ə	dikh1234	1435	27.320448	92.454924		0	FALSE	TB		_tohunt _tohunt _tohunt _tohunt
7378	104_tokill	to kill	DikhyangBugun	Bugun	uə	uə	u/w ə	dikh1234	1417	27.320448	92.454924	3125	3125	FALSE	TB		tokill
7638	108_toknowsomething	to know (something)	DikhyangBugun	Bugun	ĩt	ĩt	ĩ t	dikh1234	1410	27.320448	92.454924	2279	2279	FALSE	TB		toknowsomething
7841	111_tolaugh	to laugh	DikhyangBugun	Bugun	sʲɔk	sʲɔk	s j ɔ k	dikh1234	1355	27.320448	92.454924	268	268	FALSE	TB		tolaugh
8133	115_tolick	to lick	DikhyangBugun	Bugun	lʲak	lʲak	l j a k	dikh1234	319	27.320448	92.454924	101	101	FALSE	TB		tolick
8208	116_toliedown	to lie down	DikhyangBugun	Bugun	mɛn+rɔ+wɛ	mɛn+rɔ+wɛ	m ɛ n + r ɔ + w ɛ	dikh1234	215	27.320448	92.454924		0	FALSE	TB		_toliedown _toliedown _toliedown
10871	153_toplay	to play	DikhyangBugun	Bugun	b.ruj	b.ruj	b + r u j	dikh1234	1413	27.320448	92.454924	1225	1225	FALSE	TB		_toplay _toplay
10949	154_topull	to pull	DikhyangBugun	Bugun	ri	ri	r i	dikh1234	1455	27.320448	92.454924	1229	1229	FALSE	TB		topull
11025	155_topush	to push	DikhyangBugun	Bugun	rɛŋ	rɛŋ	r ɛ ŋ	dikh1234	1452	27.320448	92.454924	1301	1301	FALSE	TB		topush
11328	159_toresidelive	to reside (live)	DikhyangBugun	Bugun	roɛ	roɛ	r oɛ	dikh1234	363	27.320448	92.454924	1233	1233	FALSE	TB		toresidelive
11927	167_torun	to run	DikhyangBugun	Bugun	ran	ran	r a n	dikh1234	1519	27.320448	92.454924	1235	1235	FALSE	TB		torun
12195	171_toscratch	to scratch	DikhyangBugun	Bugun	o	o	o	dikh1234	1436	27.320448	92.454924	3055	3055	FALSE	TB		toscratch
12313	173_tosee	to see	DikhyangBugun	Bugun	gə.rak	gə.rak	g ə + r a k	dikh1234	1409	27.320448	92.454924	1251	1251	FALSE	TB		_tosee _tosee
12674	178_toshootanarrow	to shoot (an arrow)	DikhyangBugun	Bugun	rək u.wə	rək_u.wə	r ə k + u + w ə	dikh1234	1172	27.320448	92.454924	1970	1970	FALSE	TB		_toshootanarrow _toshootanarrow _toshootanarrow
12989	183_tosing	to sing	DikhyangBugun	Bugun	ɛ.poɛ poɛ	ɛ.poɛ_poɛ	ɛ + p oɛ + p oɛ	dikh1234	1261	27.320448	92.454924	1266	1266	FALSE	TB		_tosing _tosing _tosing
13293	187_tosleep	to sleep	DikhyangBugun	Bugun	mʲɛn	mʲɛn	m j ɛ n	dikh1234	1585	27.320448	92.454924	3668	3668	FALSE	TB		tosleep
14086	198_tospit	to spit	DikhyangBugun	Bugun	tɕʰaw.na	tɕʰaw.na	tɕʰ au + n a	dikh1234	1440	27.320448	92.454924	1304	1304	FALSE	TB		_tospit _tospit
14158	199_tostand	to stand	DikhyangBugun	Bugun	tsaj	tsaj	ts a j	dikh1234	1442	27.320448	92.454924	3914	3914	FALSE	TB		tostand
14313	201_tosteal	to steal	DikhyangBugun	Bugun	mə.kau.kau	mə.kau.kau	m ə + k au + k au	dikh1234	713	27.320448	92.454924	1310	1310	FALSE	TB		_tosteal _tosteal _tosteal
15170	213_tothinkreflect	to think (reflect)	DikhyangBugun	Bugun	naw	naw	n au	dikh1234	1415	27.320448	92.454924	1323	1323	FALSE	TB		tothinkreflect
15463	217_tothrow	to throw	DikhyangBugun	Bugun	fʲɛn	fʲɛn	f j ɛ n	dikh1234	1456	27.320448	92.454924	1334	1334	FALSE	TB		tothrow
16223	227_tovomit	to vomit	DikhyangBugun	Bugun	mɔj	mɔj	m ɔ j	dikh1234	1278	27.320448	92.454924	2365	2365	FALSE	TB		tovomit
16292	228_towalk	to walk	DikhyangBugun	Bugun	luə	luə	l u/w ə	dikh1234	1443	27.320448	92.454924	3003	3003	FALSE	TB		towalk
17155	240_towipe	to wipe	DikhyangBugun	Bugun	sat	sat	s a t	dikh1234	1454	27.320448	92.454924	1001	1001	FALSE	TB		towipe
15698	220_today	today	DikhyangBugun	Bugun	sə.to	sə.to	s ə + t o	dikh1234	1283	27.320448	92.454924	2250	2250	FALSE	TB		_today _today
15775	221_tomorrow	tomorrow	DikhyangBugun	Bugun	tʰə.mʲaŋ	tʰə.mʲaŋ	tʰ ə + m j a ŋ	dikh1234	1329	27.320448	92.454924	537	537	FALSE	TB		_tomorrow _tomorrow
16086	225_twenty	twenty	DikhyangBugun	Bugun	i.tɕʰək	i.tɕʰək	i + tɕʰ ə k	dikh1234	1710	27.320448	92.454924	551	551	FALSE	TB		_twenty _twenty
16147	226_two	two	DikhyangBugun	Bugun	ɲɛŋ	ɲɛŋ	ɲ ɛ ŋ	dikh1234	1498	27.320448	92.454924	102	102	FALSE	TB		two
16452	230_wefirstpersonpluralinclusive	we [first person plural inclusive]	DikhyangBugun	Bugun	ka.tʰə̃	ka.tʰə̃	k a + tʰ ə̃	dikh1234	1131	27.320448	92.454924	553	553	FALSE	TB		_wefirstpersonpluralinclusive _wefirstpersonpluralinclusive
16517	231_wet	wet	DikhyangBugun	Bugun	e.ʃoj	e.ʃoj	e + ʃ o j	dikh1234	1726	27.320448	92.454924	570	570	FALSE	TB		_wet _wet
16593	232_what	what	DikhyangBugun	Bugun	ɲu	ɲu	ɲ u	dikh1234	1236	27.320448	92.454924	1351	1351	FALSE	TB		what
16718	234_where	where	DikhyangBugun	Bugun	kʰ.sõ	kʰ.sõ	kʰ + s õ	dikh1234	1237	27.320448	92.454924	1360	1360	FALSE	TB		_where _where
16781	235_white	white	DikhyangBugun	Bugun	ə.mou	ə.mou	ə + m ou	dikh1234	1335	27.320448	92.454924	3709	3709	FALSE	TB		_white _white
16858	236_who	who	DikhyangBugun	Bugun	ha.ɲu	ha.ɲu	h a + ɲ u	dikh1234	1235	27.320448	92.454924	576	576	FALSE	TB		_who _who
17541	246_yellow	yellow	DikhyangBugun	Bugun	ə.dʑɔj	ə.dʑɔj	ə + dʑ ɔ j	dikh1234	1424	27.320448	92.454924	1371	1371	FALSE	TB		_yellow _yellow
17615	247_yesterday	yesterday	DikhyangBugun	Bugun	di.jaw	di.jaw	d i + j au	dikh1234	1174	27.320448	92.454924	3471	3471	FALSE	TB		_yesterday _yesterday
17693	248_yousecondpersonplural	you [second person plural]	DikhyangBugun	Bugun	na.tʰə̃	na.tʰə̃	n a + tʰ ə̃	dikh1234	1213	27.320448	92.454924	3007	3007	FALSE	TB		_yousecondpersonplural _yousecondpersonplural