RID	DOCULECT	CONCEPT	CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID	VALUE	FORM	SOURCE	NOTES	SEGMENTS
855	Hruso	drink	DRINK		1401	tʰudʒo	tʰudʒo			
856	Hruso	dry	DRY		1398	kɹo; kʰrou (SA)	kɹo; kʰrou (SA)			
857	Hruso	eat	EAT		1336	tʃadʒo; t͡sa (SA)	tʃadʒo; tsa (SA)			
858	Hruso	egg	EGG		744	dʒedʒe	dʒedʒe			
859	Hruso	eight	EIGHT		1705	ʃəgdʒə; səg͡zə (SA)	ʃəgdʒə; səgzə (SA)			
864	Hruso	excrement	SHIT (DEFECATE)		676	-	Ø			
865	Hruso	eye	EYE		1248	ʔiɲi	ʔiɲi			
866	Hruso	far	FAR		1406	ʔəxə; əra (SA)	ʔəxə; əra (SA)			
870	Hruso	fight	FIGHT		1423	tʰo-ri (SA)	tʰoØri (SA)			
872	Hruso	fire	FIRE		221	mi	mi			
874	Hruso	fish	FISH		227	tʃʰe; t͡ʃʰi (SA)	tʃʰe; tʃʰi (SA)			
875	Hruso	five	FIVE		493	pom; pum (SA)	pom; pum (SA)			
876	Hruso	flow	FLOW		2003	-	Ø			
877	Hruso	flower	FLOWER		239	ʃoba	ʃoba			
879	Hruso	frog	FROG		503	ʃedʒa; ʃəza (SA)	ʃedʒa; ʃəza (SA)			
880	Hruso	fruit	FRUIT		1507	ʃə̆dʒe	ʃədʒe			
881	Hruso	four	FOUR		1500	psə̌xi; pʰiri (SA)	psəxi; pʰiri (SA)			
882	Hruso	full	FULL		1429	gu	gu			
884	Hruso	give	GIVE		1447	dʒidʒo	dʒidʒo			
885	Hruso	goat	GOAT		1502	kʰəʃə; kʰisi (SA)	kʰəʃə; kʰisi (SA)			
888	Hruso	grass	GRASS		606	bije ~ t͡sə ~ suso (SA)	bije ~ tsə ~ suso (SA)			
891	Hruso	hair	HAIR		1040	ʔeketʃe; ikʰijet͡ʃʰi (SA)	ʔeketʃe; ikʰijetʃʰi (SA)			
892	Hruso	hard	HARD		1884	goɣou (AA); gorou	goɣou (AA); gorou			
894	Hruso	hand, arm	HAND		1277	ʔagdʒə; eg͡zə (SA)	ʔagdʒə; egzə (SA)			
896	Hruso	head	HEAD		1256	ʔekʰje	ʔekʰje			
897	Hruso	heart	HEART		1223	ʔə̆lə̆biu	ʔələbiu			
898	Hruso	heavy	HEAVY		1210	ju; liu (SA)	ju; liu (SA)			
899	Hruso	horn	HORN (ANATOMY)		1393	ʔəʃəbdʒa; səb͡zə (SA)	ʔəʃəbdʒa; səbzə (SA)			
900	Hruso	horse	HORSE		615	fugra (SA)	fugra (SA)			
901	Hruso	house	HOUSE		1252	ɲe	ɲe			
904	Hruso	hundred	HUNDRED		1634	ɸoxa; pʰuɣu (SA)	ɸoxa; pʰuɣu (SA)			
910	Hruso	kill	KILL		1417	gə (SA)	gə (SA)			
911	Hruso	knife	KNIFE		1352	betʃasa; vet͡sə (SA)	betʃasa; vetsə (SA)			
912	Hruso	know	KNOW (SOMETHING)		1410	d̪aŋxudʒo; hosə (SA)	daŋxudʒo; hosə (SA)			
913	Hruso	laugh	LAUGH		1355	tʃʰəjo; t͡ʃi (SA)	tʃʰəjo; tʃi (SA)			
914	Hruso	leaf	LEAF		628	ʔə̆xe; ʃere (SA)	ʔəxe; ʃere (SA)			
917	Hruso	lick	LICK		319	-	Ø			
919	Hruso	light	LIGHT (WEIGHT)		1052	lə̆to; lutʰou (SA)	ləto; lutʰou (SA)			
921	Hruso	listen, hear	HEAR		1408	dʒədʒo; d͡zəxu (SA)	dʒədʒo; dzəxu (SA)			
923	Hruso	liver/lungs	LIVER		1224	ě-djǔ (AS)	eØdju (AS)			
924	Hruso	long	LONG		1203	pʃu; psiu (SA)	pʃu; psiu (SA)			
925	Hruso	look, see	SEE		1409	hodʒo	hodʒo			
926	Hruso	louse	LOUSE		1392	ʃə (SA)	ʃə (SA)			
928	Hruso	man (male)	MALE PERSON		2106	mə̆hu; muxu nəna (SA)	məhu; muxu nəna (SA)			
929	Hruso	meat	MEAT		634	ɸu; t͡sə, sə (SA)	ɸu; tsə, sə (SA)			
933	Hruso	moon	MOON		1313	hŏbe; hubje (SA)	hobe; hubje (SA)			
934	Hruso	mountain	MOUNTAIN		639	pʰu; pʰudeu (SA)	pʰu; pʰudeu (SA)			
935	Hruso	mouth; language	MOUTH		674	ʔə̆nzu; und͡zu (SA)	ʔənzu; undzu (SA)			
937	Hruso	mother	MOTHER		1216	aɲi	aɲi			
938	Hruso	name	NAME		1405	ʔəɲəɲə; ʔaɲiɲi (SA)	ʔəɲəɲə; ʔaɲiɲi (SA)			
939	Hruso	near	NEAR		1942	ʔəɲisə	ʔəɲisə			
941	Hruso	new	NEW		1231	ʔə̆kə̆n; əkʰən (SA)	ʔəkən; əkʰən (SA)			
943	Hruso	nine	NINE		1483	st̪ə; stʰə (SA)	st̪ə; stʰə (SA)			
944	Hruso	nose	NOSE		1221	ʔuʃə; (un/nu) su (SA)	ʔuʃə; (un/nu) su (SA)			
945	Hruso	old	OLD (AGED)		2112	ʔə̆me;  emije (SA)	ʔəme;  emije (SA)			
946	Hruso	one	ONE		1493	ʔa	ʔa			
947	Hruso	otter	OTTER		15	size (SA)	size (SA)			
948	Hruso	paddy rice	RICE PLANT		2026	ʔo	ʔo			
951	Hruso	pig	PIG		1337	ʋo; vo (SA)	ʋo; vo (SA)			
953	Hruso	pull	PULL		1455	byjo	byjo			
955	Hruso	rain	RAIN (PRECIPITATION)		658	jedʒăʃə; ɲed͡zəʃi (SA)	jedʒaʃə; ɲedzəʃi (SA)			
956	Hruso	red	RED		156	tʃu	tʃu			
959	Hruso	river	RIVER		666	kʰu; xudɛu (SA)	kʰu; xudɛu (SA)			
960	Hruso	road	ROAD		667	xabo; rabo (SA)	xabo; rabo (SA)			
961	Hruso	root	ROOT		670	ʔə̆kʃe; əkʰrə (SA)	ʔəkʃe; əkʰrə (SA)			
962	Hruso	round	ROUND		1395	od͡ʒou; ud͡ʒərəu (SA)	odʒou; udʒərəu (SA)			
964	Hruso	run	RUN		1519	-	Ø			
966	Hruso	salt	SALT		1274	xu; ru ~ ɣu (SA)	xu; ru ~ ɣu (SA)			
967	Hruso	sand	SAND		671	bali	bali			
968	Hruso	seed	SEED		714	ʔə̌sə	ʔəsə			
970	Hruso	seven	SEVEN		1704	mɹo; mrjo (SA)	mɹo; mrjo (SA)			
972	Hruso	short	SHORT		1645	ʔĕtʃesa; udu(sa) (SA)	ʔetʃesa; udu(sa) (SA)			
973	Hruso	shoulder	SHOULDER		1482	-	Ø			
976	Hruso	six	SIX		1703	xe; rijɛ (SA)	xe; rijɛ (SA)			
977	Hruso	skin	SKIN		763	ʔə̆tʃʰə	ʔətʃʰə			
978	Hruso	sky	SKY		1732	med͡ze; ɲed͡zə (SA)	medze; ɲedzə (SA)			
979	Hruso	sleep	SLEEP		1585	dɹumudʒo; d͡ʒu (SA)	dɹumudʒo; dʒu (SA)			
980	Hruso	smell (v)	SMELL (PERCEIVE)		1586	sohu (SA)	sohu (SA)			
981	Hruso	smoke (n.)	SMOKE (EXHAUST)		778	mŭkʃə	mukʃə			
982	Hruso	snake	SNAKE		730	by	by			
983	Hruso	snow	SNOW		784	tʰĩɲo (SA)	tʰĩɲo (SA)			
984	Hruso	soft, smooth	SMOOTH		1234	d͡ʒu; nə (SA)	dʒu; nə (SA)			
985	Hruso	soil	EARTH (SOIL)		1228	no	no			
992	Hruso	stand	STAND		1442	gudʒu	gudʒu			
993	Hruso	star	STAR		1430	lə̆t͡sə	lətsə			
994	Hruso	steal	STEAL		713	kʃatʃudʒo; sak͡sə ~ t͡sak͡sə (SA)	kʃatʃudʒo; saksə ~ tsaksə (SA)			
996	Hruso	straight	STRAIGHT		1404	gədou (SA)	gədou (SA)			
998	Hruso	sun	SUN		1343	dɹu; d͡ʒu (SA)	dɹu; dʒu (SA)			
1004	Hruso	tail	TAIL		1220	ʔexem; ərim (SA)	ʔexem; ərim (SA)			
1007	Hruso	ten	TEN		1515	xə; ɣə ~ rə (SA)	xə; ɣə ~ rə (SA)			
1008	Hruso	that	THAT		78	tʰose	tʰose			
1009	Hruso	that (lower)	THAT		78	-	Ø			
1010	Hruso	thigh	UPPER LEG (THIGH)		471	-	Ø			
1011	Hruso	think	THINK (REFLECT)		1415	-	Ø			
1012	Hruso	this	THIS		1214	heji; huŋlo (SA)	heji; huŋlo (SA)			
1014	Hruso	three	THREE		492	dʒə;  d͡zə (SA)	dʒə;  dzə (SA)			
1017	Hruso	tongue	TONGUE		1205	ʔedʒabla; zebla (SA)	ʔedʒabla; zebla (SA)			
1018	Hruso	tooth	TOOTH		1380	ʔetʰu; ət͡ʃu (SA)	ʔetʰu; ətʃu (SA)			
1019	Hruso	tree	TREE		906	ʃoɲi; ʃõn (SA)	ʃoɲi; ʃõn (SA)			
1021	Hruso	two	TWO		1498	kʃə; k͡sə (SA)	kʃə; ksə (SA)			
1024	Hruso	vomit	VOMIT		1278	-	Ø			
1025	Hruso	walk	WALK		1443	d͡ʒe (SA); dʒu	dʒe (SA); dʒu			
1026	Hruso	hot, warm	HOT		1286	ʃu; ʃəu (SA)	ʃu; ʃəu (SA)			
1027	Hruso	water	WATER		948	kʰu	kʰu			
1030	Hruso	what	WHAT		1236	ha	ha			
1031	Hruso	where	WHERE		1237	hagə; hago (SA)	hagə; hago (SA)			
1032	Hruso	white	WHITE		1335	gro	gro			
1033	Hruso	who	WHO		1235	dʒu; d͡zu (SA)	dʒu; dzu (SA)			
1034	Hruso	wind	WIND		960	lau (SA)	lau (SA)			
1036	Hruso	wing	WING		1257	-	Ø			
1038	Hruso	wood	WOOD		1803	ʃo	ʃo			
1039	Hruso	woman	WOMAN		962	mim(i)	mim(i)			
1040	Hruso	year	YEAR		1226	ʔodʒe; lid͡zə (SA)	ʔodʒe; lidzə (SA)			
1041	Hruso	yesterday	YESTERDAY		1174	ɸu; fwu (SA)	ɸu; fwu (SA)			
1043	Hruso	1SG	I		1209	no	no			
1044	Hruso	2SG	THOU		1215	bʰa	bʰa			
1045	Hruso	3SG	HE OR SHE OR IT		262	ʔi	ʔi			
1047	Hruso	1PL	WE (INCLUSIVE)		1131	ɲi; ani (SA)	ɲi; ani (SA)			
1048	Hruso	2PL	YOU		1213	dʒo	dʒo			
1051	PH	ant	ANT		587	*si-ni	si+ni			
1054	PH	bad	BAD		1292	*mə-niŋ	mə+niŋ			
1055	PH	bamboo (big)	BAMBOO		1927	*bra	bra			
1059	PH	big (thick, wide)	BIG		1202	*mə-doʔ	mə+doʔ			
1060	PH	bird	BIRD		937	*bə-dow	bə+dow			
1061	PH	bite	BITE		1403	*taʔ	taʔ			
1064	PH	blood	BLOOD		946	*jaC	jaC			
1065	PH	blow	BLOW (OF WIND)		175	-	Ø			
1067	PH	body hair, feather	HAIR (BODY)		189	*mə-muC	mə+muC			
1069	PH	bone	BONE		1394	*mə-ri-jaŋ	mə+ri+jaŋ			
1072	PH	breast; milk	BREAST		1402	*mə-nuŋ	mə+nuŋ			
1074	PH	burn	BURNING		1428	-	Ø			
1075	PH	cane; rope	ROPE		1218	*su	su			
1077	PH	child	CHILD (YOUNG HUMAN)		1304	-	Ø			
1080	PH	cloud	CLOUD		1489	*majməwŋ	majməwŋ			
1086	PH	cry	CRY		1839	*kraC	kraC			
1091	PH	die	DIE		1494	*θəj	θəj			
1092	PH	dig	DIG		1418	*taC	taC			
1093	PH	dirty	DIRTY		1230	*ni-t͡ɕi	ni+tɕi			
1096	PH	dream	DREAM		2374	*tai-mə	tai+mə			
1097	PH	drink	DRINK		1401	*tuŋ	tuŋ			
1098	PH	dry	DRY		1398	*mə-ki-laŋ	mə+ki+laŋ			
1099	PH	eat	EAT		1336	*t͡ɕa	tɕa			
1100	PH	egg	EGG		744	*do-riŋ	do+riŋ			
1101	PH	eight	EIGHT		1705	*sə-giC	sə+giC			
1106	PH	excrement	SHIT (DEFECATE)		676	-	Ø			
1107	PH	eye	EYE		1248	*mə-jaʔ	mə+jaʔ			
1108	PH	far	FAR		1406	*mə-rəŋ	mə+rəŋ			
1112	PH	fight	FIGHT		1423	*rəj	rəj			
1114	PH	fire	FIRE		221	*maj	maj			
1116	PH	fish	FISH		227	*trV	trV			
1117	PH	five	FIVE		493	*bə-ŋu	bə+ŋu			
1118	PH	flow	FLOW		2003	-	Ø			
1119	PH	flower	FLOWER		239	*mə-boC	mə+boC			
1121	PH	frog	FROG		503	*d͡ʑuC	dʑuC			
1122	PH	fruit	FRUIT		1507	*θai	θai			
1123	PH	four	FOUR		1500	*bə-ləj	bə+ləj			
1124	PH	full	FULL		1429	*liŋ	liŋ			
1126	PH	give	GIVE		1447	*bəj	bəj			
1127	PH	goat	GOAT		1502	*se-preN	se+preN			
1130	PH	grass	GRASS		606	-	Ø			
1133	PH	hair	HAIR		1040	*go-pu	go+pu			
1134	PH	hard	HARD		1884	*mə-gaŋ-lo	mə+gaŋ+lo			
1136	PH	hand, arm	HAND		1277	*mə-guC	mə+guC			
1138	PH	head	HEAD		1256	*mə-go-kuŋ	mə+go+kuŋ			
1139	PH	heart	HEART		1223	*mə-luŋ-wəwC	mə+luŋ+wəwC			
1140	PH	heavy	HEAVY		1210	*mə-ləj	mə+ləj			
1141	PH	horn	HORN (ANATOMY)		1393	*mə-su	mə+su			
1142	PH	horse	HORSE		615	-	Ø			
1143	PH	house	HOUSE		1252	*nam	nam			
1146	PH	hundred	HUNDRED		1634	*bə-luŋ	bə+luŋ			
1152	PH	kill	KILL		1417	*gajC	gajC			
1153	PH	knife	KNIFE		1352	*vaj-t͡suŋ	vaj+tsuŋ			
1154	PH	know	KNOW (SOMETHING)		1410	*ni	ni			
1155	PH	laugh	LAUGH		1355	*toC	toC			
1156	PH	leaf	LEAF		628	*mə-rajC	mə+rajC			
1159	PH	lick	LICK		319	-	Ø			
1161	PH	light	LIGHT (WEIGHT)		1052	*mə-lə-taŋ	mə+lə+taŋ			
1163	PH	listen, hear	HEAR		1408	*rej	rej			
1165	PH	liver/lungs	LIVER		1224	*mə-θin LIVER	mə+θin LIVER			
1166	PH	long	LONG		1203	*mə-pjaŋ	mə+pjaŋ			
1167	PH	look, see	SEE		1409	*gaŋ	gaŋ			
1168	PH	louse	LOUSE		1392	*saC	saC			
1170	PH	man (male)	MALE PERSON		2106	*niC	niC			
1171	PH	meat	MEAT		634	*su	su			
1175	PH	moon	MOON		1313	*lu	lu			
1176	PH	mountain	MOUNTAIN		639	-	Ø			
1177	PH	mouth; language	MOUTH		674	*mə-nuŋ	mə+nuŋ			
1179	PH	mother	MOTHER		1216	*me-naj	me+naj			
1180	PH	name	NAME		1405	*mə-mjiŋ	mə+mjiŋ			
1181	PH	near	NEAR		1942	*mə-nej	mə+nej			
1183	PH	new	NEW		1231	*mə-gə-nu	mə+gə+nu			
1185	PH	nine	NINE		1483	*sə-tiŋ	sə+tiŋ			
1186	PH	nose	NOSE		1221	-	Ø			
1187	PH	old	OLD (AGED)		2112	*mə-ɕoʔ	mə+ɕoʔ			
1188	PH	one	ONE		1493	*a-ken	a+ken			
1189	PH	otter	OTTER		15	-	Ø			
1190	PH	paddy rice	RICE PLANT		2026	*an	an			
1193	PH	pig	PIG		1337	*jowʔ	jowʔ			
1195	PH	pull	PULL		1455	-	Ø			
1197	PH	rain	RAIN (PRECIPITATION)		658	*nə-dəj; *pro	nə+dəj; pro			
1198	PH	red	RED		156	*t͡ɕaʔ	tɕaʔ			
1201	PH	river	RIVER		666	-	Ø			
1202	PH	road	ROAD		667	*lam-baŋ	lam+baŋ			
1203	PH	root	ROOT		670	*mə-kriŋ	mə+kriŋ			
1204	PH	round	ROUND		1395	*mə-də-rəw	mə+də+rəw			
1206	PH	run	RUN		1519	-	Ø			
1208	PH	salt	SALT		1274	*lu	lu			
1209	PH	sand	SAND		671	*sə-gə-raj	sə+gə+raj			
1210	PH	seed	SEED		714	*mə-θai	mə+θai			
1212	PH	seven	SEVEN		1704	*mə-ljak	mə+ljak			
1214	PH	short	SHORT		1645	*mə-nuŋ	mə+nuŋ			
1215	PH	shoulder	SHOULDER		1482	-	Ø			
1218	PH	six	SIX		1703	*reC	reC			
1219	PH	skin	SKIN		763	*mə-prja	mə+prja			
1220	PH	sky	SKY		1732	*nə-də-laŋ	nə+də+laŋ			
1221	PH	sleep	SLEEP		1585	*d͡ʑV	dʑV			
1222	PH	smell (v)	SMELL (PERCEIVE)		1586	-	Ø			
1223	PH	smoke (n.)	SMOKE (EXHAUST)		778	*maj-kən	maj+kən			
1224	PH	snake	SNAKE		730	*bəw	bəw			
1225	PH	snow	SNOW		784	*dəren	dəren			
1226	PH	soft, smooth	SMOOTH		1234	*mə-lə-prjuC	mə+lə+prjuC			
1227	PH	soil	EARTH (SOIL)		1228	*naʔ	naʔ			
1234	PH	stand	STAND		1442	*gu	gu			
1235	PH	star	STAR		1430	*lə-t͡ɕuŋ	lə+tɕuŋ			
1236	PH	steal	STEAL		713	*kə	kə			
1238	PH	straight	STRAIGHT		1404	*mə-gə-raŋ 	mə+gə+raŋ 			
1240	PH	sun	SUN		1343	*d͡ʑuʔ	dʑuʔ			
1246	PH	tail	TAIL		1220	*mə-lə-mrjaj	mə+lə+mrjaj			
1249	PH	ten	TEN		1515	*rəŋ	rəŋ			
1250	PH	that	THAT		78	*paj-t͡ɕi	paj+tɕi			
1251	PH	that (lower)	THAT		78	*pu-t͡ɕi	pu+tɕi			
1252	PH	thigh	UPPER LEG (THIGH)		471	*mə-lu	mə+lu			
1253	PH	think	THINK (REFLECT)		1415	-	Ø			
1254	PH	this	THIS		1214	*huŋ	huŋ			
1256	PH	three	THREE		492	*gə-θəm	gə+θəm			
1259	PH	tongue	TONGUE		1205	*bə-laj	bə+laj			
1260	PH	tooth	TOOTH		1380	*mə-taC	mə+taC			
1261	PH	tree	TREE		906	*(g)o-naj	(g)o+naj			
1263	PH	two	TWO		1498	*gə-niC	gə+niC			
1266	PH	vomit	VOMIT		1278	*mu	mu			
1267	PH	walk	WALK		1443	*daj	daj			
1268	PH	hot, warm	HOT		1286	*t͡ɕaC	tɕaC			
1269	PH	water	WATER		948	*wi	wi			
1272	PH	what	WHAT		1236	*tiŋ	tiŋ			
1273	PH	where	WHERE		1237	*kəʔ	kəʔ			
1274	PH	white	WHITE		1335	*mə-gə-raN	mə+gə+raN			
1275	PH	who	WHO		1235	*θu	θu			
1276	PH	wind	WIND		960	*low	low			
1278	PH	wing	WING		1257	*gə/mə-t͡ɕəwC	gə/mə+tɕəwC			
1280	PH	wood	WOOD		1803	*(g)o	(g)o			
1281	PH	woman	WOMAN		962	*nəməraj	nəməraj			
1282	PH	year	YEAR		1226	*də-niŋ	də+niŋ			
1283	PH	yesterday	YESTERDAY		1174	*də-gaC	də+gaC			
1285	PH	1SG	I		1209	*na(-jaŋ)	na(+jaŋ)			
1286	PH	2SG	THOU		1215	*ni	ni			
1287	PH	3SG	HE OR SHE OR IT		262	*ʔi	ʔi			
1289	PH	1PL	WE (INCLUSIVE)		1131	*ka-ni	ka+ni			
1290	PH	2PL	YOU		1213	*d͡ʑV	dʑV			
