RID	GLOSS	CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID	DOCULECT	VALUE	FORM	SOURCE	NOTES
1	101_ifirstpersonsingular	I [first person singular]	101_ifirstpersonsingular	1209	Khengkha	nga	ŋa	A&Y96	
2	11_big	big	11_big	1202	Khengkha	khui	kʰui	A&Y96	
3	14_black	black	14_black	163	Khengkha	ɲɔn+te+la	ɲɔn+te+la	TB	
4	26_coldoftemperature	cold (of temperature)	26_coldoftemperature	1287	Khengkha	khik	kʰik	A&Y96	
5	36_dirty	dirty	36_dirty	1230	Khengkha	krekpa	krek+pa	A&Y96	
6	40_dry	dry	40_dry	1398	Khengkha	kam	kam	A&Y96	
7	48_eight	eight	48_eight	1705	Khengkha	dʑat	dʑat	A&Y96	
8	50_far	far	50_far	1406	Khengkha	tharing	tʰa+riŋ	A&Y96	
9	57_five	five	57_five	493	Khengkha	yanga	ja+ŋa	A&Y96	
10	67_four	four	67_four	1500	Khengkha	ble	ble	A&Y96	
11	73_full	full	73_full	1429	Khengkha	nan	nan	TB	
12	76_good	good	76_good	1035	Khengkha	kachan	ka+tɕʰan	A&Y96	
13	78_green	green	78_green	1425	Khengkha	tɕaŋ+kʰa	tɕaŋ+kʰa	TB	
14	82_hard	hard	82_hard	1884	Khengkha	ngarma	ŋar+ma	A&Y96	
15	83_heorshethirdpersonsingular	he or she [third person singular]	83_heorshethirdpersonsingular	262	Khengkha	khit	kʰit	A&Y96	
16	87_heavy	heavy	87_heavy	1210	Khengkha	pɛk+pɛk	pɛk+pɛk	TB	
17	96_hot	hot	96_hot	1286	Khengkha	tsʰa+to+ma	tsʰa+to+ma	TB	
18	103_inside	inside	103_inside	1606	Khengkha	nango	naŋ+o	A&Y96	
19	110_late	late	110_late	477	Khengkha	pi	pi	TB	
20	114_left	left	114_left	244	Khengkha	yomae	jo+mai	A&Y96	
21	117_lightofweight	light (of weight)	117_lightofweight	1052	Khengkha	jaŋ+su+ma	jaŋ+su+ma	TB	
22	120_long	long	120_long	1203	Khengkha	rɛŋ+she+la	rɛŋ+she+la	TB	
23	124_many	many	124_many	1198	Khengkha	dʑak+se	dʑak+se	TB	
24	127_middle	middle	127_middle	1093	Khengkha	bar+to	bar+to	TB	
25	129_morning	morning	129_morning	1339	Khengkha	ngazi	ŋa+zi	A&Y96	
26	139_near	near	139_near	1942	Khengkha	thamaedho	tʰa+mai+dʰo	A&Y96	
27	142_new	new	142_new	1231	Khengkha	sarpa	sar+pa	A&Y96	
28	143_nine	nine	143_nine	1483	Khengkha	dhogo	dʰo+go	A&Y96	
29	148_one	one	148_one	1493	Khengkha	thek	tʰek	A&Y96	
30	150_outside	outside	150_outside	762	Khengkha	bit+to	bit+to	TB	
31	158_red	red	158_red	156	Khengkha	ʑin+ti+la	ʑin+ti+la	TB	
32	161_right	right	161_right	1019	Khengkha	je55+na	je55+na	TB	
33	166_round	round	166_round	1395	Khengkha	gɔŋ+to+ri+ri	gɔŋ+to+ri+ri	TB	
34	175_seven	seven	175_seven	1704	Khengkha	nyit	ɲit	A&Y96	
35	176_sharp	sharp	176_sharp	1396	Khengkha	ja	ja	TB	
36	179_short	short	179_short	1645	Khengkha	tʰiŋ+ku+la	tʰiŋ+ku+la	TB	
37	184_six	six	184_six	1703	Khengkha	gro	gro	A&Y96	
38	188_small	small	188_small	1246	Khengkha	tɕiŋ+wa	tɕiŋ+wa	TB	
39	194_soft	soft	194_soft	1856	Khengkha	dʑam+tɕʰuk+tɕʰuk	dʑam+tɕʰuk+tɕʰuk	TB	
40	204_straight	straight	204_straight	1404	Khengkha	ʈʰaŋ+taŋ+ŋa	ʈʰaŋ+taŋ+ŋa	TB	
41	207_ten	ten	207_ten	1515	Khengkha	che	tɕʰe	A&Y96	
42	3_theant	the ant	3_theant	587	Khengkha	buktali	buk+ta+li	A&Y96	
43	6_thebamboo	the bamboo	6_thebamboo	1927	Khengkha	zeng	zeŋ	A&Y96	
44	9_thebelly	the belly	9_thebelly	1251	Khengkha	dʑo55+ma	dʑo55+ma	TB	
45	12_thebird	the bird	12_thebird	937	Khengkha	dʑa	dʑa	A&Y96	
46	15_theblood	the blood	15_theblood	946	Khengkha	ka	ka	A&Y96	
47	18_thebone	the bone	18_thebone	1394	Khengkha	rotpa	rot+pa	A&Y96	
48	19_thebranch	the branch	19_thebranch	1531	Khengkha	bang ba	baŋ+ba	A&Y96	
49	20_thebreastfemale	the breast (female)	20_thebreastfemale	1402	Khengkha	dʑu	dʑu	A&Y96	
50	25_thecloud	the cloud	25_thecloud	1489	Khengkha	sar+dʑa	sar+dʑa	TB	
51	33_thedew	the dew	33_thedew	1977	Khengkha	zit+pa	zit+pa	TB	
52	37_thedog	the dog	37_thedog	2009	Khengkha	khui	kʰui	A&Y96	
53	38_thedream	the dream	38_thedream	2374	Khengkha	mimang	mi+maŋ	A&Y96	
54	41_thedust	the dust	41_thedust	2	Khengkha	tʰeu	tʰeu	TB	
55	42_theear	the ear	42_theear	1247	Khengkha	napali	na+pa+li	A&Y96	
56	44_theearthsoil	the earth (soil)	44_theearthsoil	1228	Khengkha	sa	sa	A&Y96	
57	47_theegg	the egg	47_theegg	744	Khengkha	khaete	kʰai+te	A&Y96	
58	49_theeye	the eye	49_theeye	1248	Khengkha	meg	mek	A&Y96	
59	54_thefire	the fire	54_thefire	221	Khengkha	gami	ga+mi	A&Y96	
60	56_thefish	the fish	56_thefish	227	Khengkha	nya	ɲa	A&Y96	
61	61_theflower	the flower	61_theflower	239	Khengkha	mento	men+to	A&Y96	
62	64_thefoot	the foot	64_thefoot	1301	Khengkha	tawa	ta+wa	A&Y96	leg
63	65_theforest	the forest	65_theforest	420	Khengkha	ron	ron	A&Y96	
64	69_thefrog	the frog	69_thefrog	503	Khengkha	baepala	bai+pa+la	A&Y96	
65	70_thefrontfrontside	the front (front side)	70_thefrontfrontside	2194	Khengkha	dongo	doŋ+o	A&Y96	
66	72_thefruit	the fruit	72_thefruit	1507	Khengkha	shingre	shiŋ+re	A&Y96	
67	75_thegoat	the goat	75_thegoat	1502	Khengkha	lele	le+le	A&Y96	
68	79_thehail	the hail	79_thehail	609	Khengkha	serwa	ser+wa	A&Y96	
69	80_thehairofthehead	the hair (of the head)	80_thehairofthehead	1040	Khengkha	kra	kra	A&Y96	
70	81_thehand	the hand	81_thehand	1277	Khengkha	yag	jak	A&Y96	
71	84_thehead	the head	84_thehead	1256	Khengkha	guyung	gu+juŋ	A&Y96	
72	86_theheart	the heart	86_theheart	1223	Khengkha	'neng	neŋ55	A&Y96	
73	94_thehornkeratinizedskin	the horn (keratinized skin)	94_thehornkeratinizedskin	1393	Khengkha	ro	ro	TB	
74	97_thehouse	the house	97_thehouse	1252	Khengkha	mae	mai	A&Y96	
75	106_theknee	the knee	106_theknee	1371	Khengkha	putmong	put+moŋ	A&Y96	
76	112_theleaf	the leaf	112_theleaf	628	Khengkha	lampa	lam+pa	A&Y96	
77	119_theliver	the liver	119_theliver	1224	Khengkha	chinpa	tɕʰin+pa	A&Y96	
78	121_thelouse	the louse	121_thelouse	1392	Khengkha	'se	se55	A&Y96	
79	122_thelung	the lung	122_thelung	688	Khengkha	lowa	lo+wa	A&Y96	
80	123_themanmalehuman	the man (male human)	123_themanmalehuman	2106	Khengkha	bo+tsʰa	bo+tsʰa	TB	
81	126_themeat	the meat	126_themeat	634	Khengkha	sha	ɕa	A&Y96	
82	128_themoon	the moon	128_themoon	1313	Khengkha	la55	la55	TB	
83	132_themountain	the mountain	132_themountain	639	Khengkha	phu	pʰu	A&Y96	
84	133_themouseorrat	the mouse or rat	133_themouseorrat	2139	Khengkha	'nyapae	ɲa55+pai	A&Y96	
85	134_themouth	the mouth	134_themouth	674	Khengkha	kha	kʰa	A&Y96	
86	135_themud	the mud	135_themud	640	Khengkha	dam	dam	TB	
87	136_thenailfingernailorclaw	the nail (fingernail or claw)	136_thenailfingernailorclaw	2128	Khengkha	simba	sim+ba	A&Y96	
88	137_thename	the name	137_thename	1405	Khengkha	ming	miŋ	A&Y96	
89	140_theneck	the neck	140_theneck	1333	Khengkha	takpa	tak+pa	A&Y96	
90	141_theneedleforsewing	the needle (for sewing)	141_theneedleforsewing	1382	Khengkha	kʰap	kʰap	TB	
91	146_thenose	the nose	146_thenose	1221	Khengkha	'natong	na55+toŋ	A&Y96	
92	151_thepig	the pig	151_thepig	1337	Khengkha	phak	pʰak	A&Y96	
93	156_therain	the rain	156_therain	658	Khengkha	yü	jy	A&Y96	
94	163_theroad	the road	163_theroad	667	Khengkha	yam	jam	A&Y96	
95	164_theroot	the root	164_theroot	670	Khengkha	ra	ra	A&Y96	
96	165_therope	the rope	165_therope	1218	Khengkha	tʰak+pa	tʰak+pa	TB	
97	168_thesalt	the salt	168_thesalt	1274	Khengkha	tsa	tsa	A&Y96	
98	170_thesand	the sand	170_thesand	671	Khengkha	be+ma	be+ma	TB	
99	174_theseed	the seed	174_theseed	714	Khengkha	son	son	A&Y96	
100	250_theshit	the shit	250_theshit	676	Khengkha	'cho	tɕʰo55	A&Y96	
101	180_theshoulder	the shoulder	180_theshoulder	1482	Khengkha	pongma	poŋ+ma	A&Y96	
102	185_theskin	the skin	185_theskin	763	Khengkha	pakpa	pak+pa	A&Y96	
103	186_thesky	the sky	186_thesky	1732	Khengkha	num	nam	A&Y96	
104	190_thesmoke	the smoke	190_thesmoke	778	Khengkha	du+wa	du+wa	TB	
105	192_thesnake	the snake	192_thesnake	730	Khengkha	po	po	A&Y96	
106	193_thesnow	the snow	193_thesnow	784	Khengkha	ka	ka	A&Y96	
107	195_theson	the son	195_theson	1620	Khengkha	bosa	bo+sa	A&Y96	
108	197_thespider	the spider	197_thespider	843	Khengkha	lalama	la+la+ma	A&Y96	
109	200_thestar	the star	200_thestar	1430	Khengkha	kar55+ma	kar55+ma	TB	
110	202_thestick	the stick	202_thestick	1295	Khengkha	te55+tʰa	te55+tʰa	TB	
111	203_thestoneapieceof	the stone (a piece of)	203_thestoneapieceof	857	Khengkha	gor	gor	A&Y96	
112	205_thesun	the sun	205_thesun	1343	Khengkha	ne	ne	A&Y96	
113	206_thetail	the tail	206_thetail	1220	Khengkha	ɲi55+pʰaŋ	ɲi55+pʰaŋ	TB	
114	211_thethigh	the thigh	211_thethigh	471	Khengkha	binpa	bin+pa	A&Y96	
115	218_thethunder	the thunder	218_thethunder	1150	Khengkha	druk	druk	A&Y96	
116	222_thetongue	the tongue	222_thetongue	1205	Khengkha	'li	li55	A&Y96	
117	223_thetoothfront	the tooth (front)	223_thetoothfront	1380	Khengkha	kua	kwa	A&Y96	
118	229_thewater	the water	229_thewater	948	Khengkha	khui	kʰui	A&Y96	
119	238_thewind	the wind	238_thewind	960	Khengkha	lung	luŋ	A&Y96	
120	239_thewing	the wing	239_thewing	1257	Khengkha	ɕɔk+pa	ɕɔk+pa	TB	
121	242_thewoman	the woman	242_thewoman	962	Khengkha	bo+mɛt	bo+mɛt	TB	
122	245_theyear	the year	245_theyear	1226	Khengkha	'neng	neŋ55	A&Y96	
123	210_thick	thick	210_thick	1244	Khengkha	tɔk+tɕi+la	tɔk+tɕi+la	TB	
124	212_thinobject	thin (object)	212_thinobject	2249	Khengkha	ŋrap+tɕi+la	ŋrap+tɕi+la	TB	
125	215_thousecondpersonsingular	thou [second person singular]	215_thousecondpersonsingular	1215	Khengkha	wet	wet	A&Y96	
126	216_three	three	216_three	492	Khengkha	sum	sum	A&Y96	
127	13_tobite	to bite	13_tobite	1403	Khengkha	tsʰek	tsʰek	TB	
128	21_toburnintransitive	to burn [intransitive]	21_toburnintransitive	1428	Khengkha	ɲum	ɲum	TB	
129	22_tobuy	to buy	22_tobuy	1869	Khengkha	ngi-gimin	ŋi	A&Y96	
130	23_tochew	to chew	23_tochew	321	Khengkha	mur-timin	mur	A&Y96	
131	27_tocome	to come	27_tocome	1446	Khengkha	ra-gimin	ra	A&Y96	
132	29_tocount	to count	29_tocount	1420	Khengkha	grang-imin	graŋ	A&Y96	
133	30_tocryweep	to cry (weep)	30_tocryweep	1839	Khengkha	ngo-gimin	ŋo	A&Y96	
134	34_todie	to die	34_todie	1494	Khengkha	se-gimin	se	A&Y96	
135	35_todig	to dig	35_todig	1418	Khengkha	ku-gimin	ku	A&Y96	
136	39_todrink	to drink	39_todrink	1401	Khengkha	thong-imin	tʰoŋ	A&Y96	
137	46_toeat	to eat	46_toeat	1336	Khengkha	zu-gimin	zu	A&Y96	
138	53_tofight	to fight	53_tofight	1423	Khengkha	prat55	prat55	TB	
139	62_toflymovethroughair	to fly (move through air)	62_toflymovethroughair	1441	Khengkha	phur-timin	pʰur	A&Y96	
140	66_toforget	to forget	66_toforget	1523	Khengkha	dʑit55	dʑit55	TB	
141	74_togive	to give	74_togive	1447	Khengkha	bi-gimin	bi	A&Y96	
142	85_tohear	to hear	85_tohear	1408	Khengkha	nae-thu-gimin	nai+tʰu	A&Y96	
143	89_tohideconceal	to hide (conceal)	89_tohideconceal	602	Khengkha	lom55	lom55	TB	
144	91_tohold	to hold	91_tohold	1448	Khengkha	zɔŋ	zɔŋ	TB	
145	104_tokill	to kill	104_tokill	1417	Khengkha	sut	sut	TB	
146	111_tolaugh	to laugh	111_tolaugh	1355	Khengkha	ga-gimin	ga	A&Y96	
147	115_tolick	to lick	115_tolick	319	Khengkha	phlin-dhimin	pʰlin	A&Y96	
148	153_toplay	to play	153_toplay	1413	Khengkha	plɛŋ	plɛŋ	TB	
149	155_topush	to push	155_topush	1452	Khengkha	pʰui	pʰui	TB	
150	159_toresidelive	to reside (live)	159_toresidelive	363	Khengkha	nik-imin	nik	A&Y96	
151	171_toscratch	to scratch	171_toscratch	1436	Khengkha	mrat	mrat	TB	
152	173_tosee	to see	173_tosee	1409	Khengkha	thung-imin	tʰuŋ	A&Y96	
153	178_toshootanarrow	to shoot (an arrow)	178_toshootanarrow	1172	Khengkha	tʰuŋ	tʰuŋ	TB	
154	183_tosing	to sing	183_tosing	1261	Khengkha	ʑap+ɖo+tʰɛn	ʑap+ɖo+tʰɛn	TB	
155	187_tosleep	to sleep	187_tosleep	1585	Khengkha	dhod-timin	dʰot	A&Y96	
156	189_tosmellperceiveodortransitive	to smell (perceive odor) [transitive]	189_tosmellperceiveodortransitive	1586	Khengkha	nam-timin	nam	A&Y96	
157	198_tospit	to spit	198_tospit	1440	Khengkha	tʰɛp+tʰuk	tʰɛp+tʰuk	TB	
158	199_tostand	to stand	199_tostand	1442	Khengkha	jaŋ	jaŋ	TB	
159	201_tosteal	to steal	201_tosteal	713	Khengkha	kunma bu-gimin	kun+ma+bu	A&Y96	
160	213_tothinkreflect	to think (reflect)	213_tothinkreflect	1415	Khengkha	noksam thung-imin	nok+sam+tʰuŋ	A&Y96	
161	217_tothrow	to throw	217_tothrow	1456	Khengkha	juk55	juk55	TB	
162	227_tovomit	to vomit	227_tovomit	1278	Khengkha	tɕuk55	tɕuk55	TB	
163	228_towalk	to walk	228_towalk	1443	Khengkha	go-gimin	go	A&Y96	
164	240_towipe	to wipe	240_towipe	1454	Khengkha	pʰik	pʰik	TB	
165	226_two	two	226_two	1498	Khengkha	zon	zon	A&Y96	
166	231_wet	wet	231_wet	1726	Khengkha	ɕir+ba	ɕir+ba	TB	
167	235_white	white	235_white	1335	Khengkha	kʰar+ti+la	kʰar+ti+la	TB	
168	236_who	who	236_who	1235	Khengkha	ae yo	ai+jo	A&Y96	
169	246_yellow	yellow	246_yellow	1424	Khengkha	sir+ti+la	sir+ti+la	TB	
170	1_above	above	1_above	1741	Khengkha	ཇའི་དོ།	dʑai+do	TB	
171	2_all	all	2_all	98	Khengkha	gangko	gaŋ+ko	Y&A96	
172	4_thearmpit	the armpit	4_thearmpit	1886	Khengkha	gachali	ga+tɕʰa+li	Y&A96	
173	5_bad	bad	5_bad	1292	Khengkha	ཟོག་དྲགས།	zok+ɖaː	TB	
174	7_thebarleytibetanorhighland	the barley (tibetan or highland)	7_thebarleytibetanorhighland	932	Khengkha	ནད།	nat55	TB	
175	8_tobealive	to be alive	8_tobealive	1422	Khengkha	གསོན་པོ།	son+po	TB	
176	10_belowunder	below, under	10_belowunder	1485	Khengkha	sutu	sut+tu	Y&A96	
177	16_toblowofwind	to blow (of wind)	16_toblowofwind	175	Khengkha	jikpa	dʑik	Y&A96	
178	17_thebodyhairhairorfur	the body hair (hair or fur)	17_thebodyhairhairorfur	189	Khengkha	སྤུ།	pu55	TB	
179	24_thechildyounghuman	the child (young human)	24_thechildyounghuman	1304	Khengkha	olo	o+lo	Y&A96	
180	28_correctright	correct (right)	28_correctright	1725	Khengkha	མ་འཛོའི་ནག།	ma+zoi+na55	TB	
181	31_dark	dark	31_dark	706	Khengkha	nak dungdung	nak+duŋ+duŋ	Y&A96	
182	32_thedaughter	the daughter	32_thedaughter	1357	Khengkha	bomet	bo+met	Y&A96	
183	43_early	early	43_early	672	Khengkha	སྔན་མན།	ŋan55+man	TB	
184	45_theearthworm	the earthworm	45_theearthworm	2350	Khengkha	ཀྲང་ཞིའོ།	kraŋ+ʑiu	TB	
185	51_thefather	the father	51_thefather	1217	Khengkha	apa	a+pa	Y&A96	
186	52_thefeather	the feather	52_thefeather	1201	Khengkha	སྒྲོ།	ɖo	TB	
187	55_firewood	firewood	55_firewood	10	Khengkha	thapseng	tʰap+seŋ	Y&A96	
188	58_theflea	the flea	58_theflea	232	Khengkha	liwa	li55+wa	Y&A96	
189	59_tofloat	to float	59_tofloat	1574	Khengkha	བོན།	bon	TB	
190	60_toflow	to flow	60_toflow	2003	Khengkha	རྒྱུག།	dʑuk55	TB	
191	63_thefog	the fog	63_thefog	249	Khengkha	སྨུག་པ།	muk55+pa	TB	
192	68_thefox	the fox	68_thefox	1312	Khengkha	shiuli	ɕiu+li	Y&A96	
193	71_thefrost	the frost	71_thefrost	2034	Khengkha	chakpa	tɕʰak+pa	Y&A96	
194	77_thegrass	the grass	77_thegrass	606	Khengkha	tiwa	ti+wa	Y&A96	
195	88_here	here	88_here	136	Khengkha	henna	hen+na	Y&A96	
196	90_hightall	high / tall	90_hightall	1265	Khengkha	མཐོ་ཝ།	tʰo+wa	TB	
197	92_thehoof	the hoof	92_thehoof	152	Khengkha	རྨིག་པ།	mik55+pa	TB	
198	93_horizontal	horizontal	93_horizontal	2376	Khengkha	Ø	Ø	Ø	
199	95_thehorse	the horse	95_thehorse	615	Khengkha	ta	ta	Y&A96	
200	98_hundred	hundred	98_hundred	1634	Khengkha	jathek	dʑa+tʰek	Y&A96	one hundred
201	99_tohunt	to hunt	99_tohunt	1435	Khengkha	ཤ་སྐྲོད།	ɕa+krot55	TB	
202	100_thehusband	the husband	100_thehusband	1200	Khengkha	phoja	pʰo+dʑa	Y&A96	
203	102_theice	the ice	102_theice	617	Khengkha	khe	kʰe	Y&A96	
204	105_toknead	to knead	105_toknead	274	Khengkha	noy-dhimin	noi	Y&A96	
205	107_knife	knife	107_knife	1352	Khengkha	yürbu	jyr+bu	Y&A96	
206	108_toknowsomething	to know (something)	108_toknowsomething	1410	Khengkha	khan	kʰan	Y&A96	
207	109_thelake	the lake	109_thelake	624	Khengkha	tso	tso	Y&A96	
208	113_tolearn	to learn	113_tolearn	504	Khengkha	lup-timin	lup55	Y&A96	
209	116_toliedown	to lie down	116_toliedown	215	Khengkha	དེབ་ཏོ་སྔེན།	dep+to+ŋen55	TB	
210	118_thelipthelips	the lip (the lips)	118_thelipthelips	478	Khengkha	chimali	tɕʰi+ma+li	Y&A96	
211	125_tomarryamanmarriesawoman	to marry (a man marries a woman)	125_tomarryamanmarriesawoman	2164	Khengkha	nyen thung-imin	ɲen+tʰuŋ	Y&A96	
212	130_themosquito	the mosquito	130_themosquito	1509	Khengkha	kangkama	kaŋ+ka+ma	Y&A96	
213	131_themother	the mother	131_themother	1216	Khengkha	ama	a+ma	Y&A96	
214	138_narrow	narrow	138_narrow	1267	Khengkha	དོག་དྲགས།	dok+ɖaː	TB	
215	144_thenit	the nit	144_thenit	267	Khengkha	te	te	Y&A96	
216	145_noon	noon	145_noon	12	Khengkha	Ø	Ø	Ø	
217	147_oldofperson	old (of person)	147_oldofperson	2112	Khengkha	gat	gat	Y&A96	
218	149_theotter	the otter	149_theotter	15	Khengkha	kram	kram	Y&A96	
219	152_toplantvegetalsrice	to plant (vegetals, rice)	152_toplantvegetalsrice	1486	Khengkha	sot-imin	sot	Y&A96	
220	154_topull	to pull	154_topull	1455	Khengkha	འཐན།	tʰan	TB	
221	157_therainbow	the rainbow	157_therainbow	1733	Khengkha	འཇའ།	dʑa	TB	
222	160_thericeplant	the rice plant	160_thericeplant	2026	Khengkha	ipa	i+pa	Y&A96	
223	162_theriver	the river	162_theriver	666	Khengkha	གཙང་ཆུ།	saŋ+tɕʰu	TB	
224	167_torun	to run	167_torun	1519	Khengkha	རྒྱུག།	dʑuk55	TB	
225	169_salty	salty	169_salty	1091	Khengkha	tsa mang	tsa+maŋ	Y&A96	
226	172_thesea	the sea	172_thesea	1474	Khengkha	jamtso	dʑam+tso	Y&A96	
227	177_thesheep	the sheep	177_thesheep	1331	Khengkha	yo	jo	Y&A96	
228	181_shy	shy	181_shy	487	Khengkha	ངོ་ཚ།	ŋo+tsʰa	TB	
229	182_thesickle	the sickle	182_thesickle	341	Khengkha	zorwa	zor+wa	Y&A96	
230	191_smooth	smooth	191_smooth	1234	Khengkha	jambu	dʑam+bu	Y&A96	
231	196_thesparrow	the sparrow	196_thesparrow	1854	Khengkha	shengbaling	ɕeŋ+ba+liŋ	Y&A96	err. sbengbaling
232	208_that	that	208_that	78	Khengkha	thukae	tʰu+kai	Y&A96	
233	209_there	there	209_there	1937	Khengkha	thui	tʰui	Y&A96	
234	214_this	this	214_this	1214	Khengkha	hekae	he+kai	Y&A96	
235	219_thetiger	the tiger	219_thetiger	846	Khengkha	tak	tak	Y&A96	
236	220_today	today	220_today	1283	Khengkha	dhasum	dʰa+sum	Y&A96	
237	221_tomorrow	tomorrow	221_tomorrow	1329	Khengkha	yampa	jam+pa	Y&A96	
238	224_thetree	the tree	224_thetree	906	Khengkha	seng	seŋ	Y&A96	
239	225_twenty	twenty	225_twenty	1710	Khengkha	khaethek	kʰai+tʰek	Y&A96	
240	230_wefirstpersonpluralinclusive	we [first person plural inclusive]	230_wefirstpersonpluralinclusive	1131	Khengkha	nget	ŋet	Y&A96	
241	232_what	what	232_what	1236	Khengkha	jae yo	jai+jo	Y&A96	
242	233_thewheat	the wheat	233_thewheat	1077	Khengkha	ཀར།	kar	TB	
243	234_where	where	234_where	1237	Khengkha	angi	aŋ+gi	Y&A96	
244	237_thewife	the wife	237_thewife	1199	Khengkha	naetshang	nai+tsʰaŋ	Y&A96	
245	241_thewolf	the wolf	241_thewolf	522	Khengkha	sawareng	sa+wa+reŋ	Y&A96	dhole
246	243_thewoodmaterial	the wood (material)	243_thewoodmaterial	1803	Khengkha	seng	seŋ	Y&A96	
247	244_tosowbroadcastscatterseeds	to sow (broadcast, scatter seeds)	244_tosowbroadcastscatterseeds	748	Khengkha	jo-timin	dʑo	Y&A96	
248	247_yesterday	yesterday	247_yesterday	1174	Khengkha	dangla	daŋ+la	Y&A96	
249	248_yousecondpersonplural	you [second person plural]	248_yousecondpersonplural	1213	Khengkha	wet	wet	Y&A96	
250	249_young	young	249_young	1207	Khengkha	zyon-ta	ʑon+ta	Y&A96	