RID	DOCULECT	CONCEPT	CONCEPTICON_GLOSS	CONCEPTICON_ID	Concept_in_source	Value	Form	Notes	Source
1	Tangam	above	ABOVE	1741	on top	agyaŋ	a+gjaŋ		Post2017
2	Tangam	all	ALL	98	all	aʔpɨŋ	aʔ+pɨŋ		Post2017
3	Tangam	the ant	ANT	587		teruk	te+ruk		Post2017
4	Tangam	the armpit	ARMPIT	1886	armpit	ləədu kiiruŋ	ləː+du+kiː+ruŋ		Post2017
5	Tangam	bad	BAD	1292		Ø	Ø		Post2017
6	Tangam	the bamboo	BAMBOO	1927	bamboo	ade	a+de		Post2017
7	Tangam	the barley (tibetan or highland)	BARLEY	932		Ø	Ø		Post2017
8	Tangam	to be alive	BE ALIVE	1422	be alive	tun	tun		Post2017
9	Tangam	the belly	BELLY	1251	stomach	aat	aːt		Post2017
10	Tangam	below, under	BELOW OR UNDER	1485	under	laʔkɨŋ	laʔ+kɨŋ		Post2017
11	Tangam	big	BIG	1202	big	boʔte	boʔ+te		Post2017
12	Tangam	the bird	BIRD	937	bird	taatuŋ	taː+tuŋ		Post2017
13	Tangam	to bite	BITE	1403	bite	gyan	gjan		Post2017
14	Tangam	black	BLACK	163	black	yaka	ja+ka		Post2017
15	Tangam	the blood	BLOOD	946	blood	ayi	a+ji		Post2017
16	Tangam	to blow (of wind)	BLOW (OF WIND)	175	blow (as wind)	mut	mut		Post2017
17	Tangam	the body hair (hair or fur)	HAIR (BODY)	189	hair (body)	amɨ	a+mɨ		Post2017
18	Tangam	the bone	BONE	1394	bone	aroŋ	a+roŋ		Post2017
19	Tangam	the branch	BRANCH	1531	branch	aabe	aː+be		Post2017
20	Tangam	the breast (female)	BREAST	1402	breast	poopoŋ	poː+poŋ		Post2017
21	Tangam	to burn [intransitive]	BURNING	1428		Ø	Ø		Post2017
22	Tangam	to buy	BUY	1869	buy	le	le		Post2017
23	Tangam	to chew	CHEW	321	chew	ǰun	ʥun		Post2017
24	Tangam	the child (young human)	CHILD (YOUNG HUMAN)	1304	child	ŋaǰɨŋ	ŋa+ʥɨŋ		Post2017
25	Tangam	the cloud	CLOUD	1489	cloud	doomuk	doː+muk		Post2017
26	Tangam	cold (of temperature)	COLD	1287	cold (feeling)	ǰaccɨŋ	ʥatɕ+tɕɨŋ		Post2017
27	Tangam	to come	COME	1446	come	aŋ	aŋ		Post2017
28	Tangam	correct (right)	CORRECT (RIGHT)	1725	that’s right	də	də		Post2017
29	Tangam	to count	COUNT	1420	count	kiŋ	kiŋ		Post2017
30	Tangam	to cry (weep)	CRY	1839	cry (weep)	kyat	kjat		Post2017
31	Tangam	dark	DARK	706	dark	katəə mareŋ	ka+təː+ma+reŋ		Post2017
32	Tangam	the daughter	DAUGHTER	1357	daughter	dome	do+me		Post2017
33	Tangam	the dew	DEW	1977	dew	ŋaasi	ŋaː+si		Post2017
34	Tangam	to die	DIE	1494	die	hi	hi		Post2017
35	Tangam	to dig	DIG	1418	dig	kyoŋ	kjoŋ		Post2017
36	Tangam	dirty	DIRTY	1230	dirty	kaʔcin	kaʔ+tɕin		Post2017
37	Tangam	the dog	DOG	2009	dog	akee	a+keː		Post2017
38	Tangam	the dream	DREAM	2374		Ø	Ø		Post2017
39	Tangam	to drink	DRINK	1401	imbibe	təŋ	təŋ		Post2017
40	Tangam	dry	DRY	1398	dry vr.	han	han		Post2017
41	Tangam	the dust	DUST	2	dusty	gyuŋgyuŋ	gjuŋ+gjuŋ		Post2017
42	Tangam	the ear	EAR	1247	ear	ɲoruŋ	ɲo+ruŋ		Post2017
43	Tangam	early	EARLY	672	early	kon	kon		Post2017
44	Tangam	the earth (soil)	EARTH (SOIL)	1228	soil	koǰee	ko+ʥeː		Post2017
45	Tangam	the earthworm	EARTHWORM	2350	earthworm	dondaŋ	don+daŋ		Post2017
46	Tangam	to eat	EAT	1336	eat	de	de		Post2017
47	Tangam	the egg	EGG	744	egg	loopɨ	loː+pɨ		Post2017
48	Tangam	eight	EIGHT	1705	eight	piiɲi	piː+ɲi		Post2017
49	Tangam	the eye	EYE	1248	eye	amik	a+mik		Post2017
50	Tangam	far	FAR	1406	far	mootəŋ	moː+təŋ		Post2017
51	Tangam	the father	FATHER	1217	father	abo	a+bo		Post2017
52	Tangam	the feather	FEATHER	1201	chicken feather	loomɨ	loː+mɨ		Post2017
53	Tangam	to fight	FIGHT	1423		Ø	Ø		Post2017
54	Tangam	the fire	FIRE	221	fire	ame	a+me		Post2017
55	Tangam	firewood	FIREWOOD	10	firewood	paasa	paː+sa		Post2017
56	Tangam	the fish	FISH	227	fish	aŋo	a+ŋo		Post2017
57	Tangam	five	FIVE	493	five	yoŋŋo	joŋ+ŋo		Post2017
58	Tangam	the flea	FLEA	232	flea	tei	tei		Post2017
59	Tangam	to float	FLOAT	1574		Ø	Ø		Post2017
60	Tangam	to flow	FLOW	2003	flow	yu	ju		Post2017
61	Tangam	the flower	FLOWER	239	flower	apuk	a+puk		Post2017
62	Tangam	to fly (move through air)	FLY (MOVE THROUGH AIR)	1441	fly	yot	jot		Post2017
63	Tangam	the fog	FOG	249	fog	daapan	daː+pan		Post2017
64	Tangam	the foot	FOOT	1301	foot (of body)	are	a+re		Post2017
65	Tangam	the forest	FOREST	420	jungle	mɨɨraŋ	mɨː+raŋ		Post2017
66	Tangam	to forget	FORGET	1523	forget	miʔpan	miʔ+pan		Post2017
67	Tangam	four	FOUR	1500	four	yoʔpi	joʔ+pi		Post2017
68	Tangam	the fox	FOX	1312		Ø	Ø		Post2017
69	Tangam	the frog	FROG	503	frog	kutuk	ku+tuk		Post2017
70	Tangam	the front (front side)	FRONT (PART)	2194	front	ɲapyaŋ	ɲa+pjaŋ		Post2017
71	Tangam	the frost	FROST	2034	frost	ŋamba	ŋam+ba		Post2017
72	Tangam	the fruit	FRUIT	1507	fruit	apɨ	a+pɨ		Post2017
73	Tangam	full	FULL	1429	full (not empty)	biŋ	biŋ		Post2017
74	Tangam	to give	GIVE	1447	give	bi	bi		Post2017
75	Tangam	the goat	GOAT	1502	goat	laga	la+ga		Post2017
76	Tangam	good	GOOD	1035	good	aɲo	a+ɲo		Post2017
77	Tangam	the grass	GRASS	606	grass	koŋgaŋ	koŋ+gaŋ		Post2017
78	Tangam	green	GREEN	1425	green-blue	yaɨŋ	jaɨŋ		Post2017
79	Tangam	the hail	HAIL	609		Ø	Ø		Post2017
80	Tangam	the hair (of the head)	HAIR	1040	hair (head)	dɨmmɨ	dɨm+mɨ		Post2017
81	Tangam	the hand	HAND	1277	hand / arm	arak	a+rak		Post2017
82	Tangam	hard	HARD	1884	hard	əʔkəŋ	əʔ+kəŋ		Post2017
83	Tangam	he or she [third person singular]	HE OR SHE OR IT	262	he	nodɨ	no+dɨ		Post2017
84	Tangam	the head	HEAD	1256	head	duʔpoŋ	duʔ+poŋ		Post2017
85	Tangam	to hear	HEAR	1408	listen	ta	ta		Post2017
86	Tangam	the heart	HEART	1223	heart	adaŋ	a+daŋ		Post2017
87	Tangam	heavy	HEAVY	1210	heavy	cikɨk	tɕi+kɨk		Post2017
88	Tangam	here	HERE	136	here	hɨɨ	hɨɨ		Post2017
89	Tangam	to hide (conceal)	HIDE (CONCEAL)	602		Ø	Ø		Post2017
90	Tangam	high / tall	HIGH	1265	tall, long	oodo	oː+do		Post2017
91	Tangam	to hold	HOLD	1448	hold	bon	bon		Post2017
92	Tangam	the hoof	HOOF	152	hoof	lepyuk	le+pjuk		Post2017
93	Tangam	horizontal	HORIZONTAL	2376		Ø	Ø		Post2017
94	Tangam	the horn (keratinized skin)	HORN (ANATOMY)	1393	horn	ləəbuŋ	ləː+buŋ		Post2017
95	Tangam	the horse	HORSE	615	horse	hiki	hi+ki		Post2017
96	Tangam	hot	HOT	1286	hot	pyaʔke	pjaʔ+ke		Post2017
97	Tangam	the house	HOUSE	1252	house	araŋ	a+raŋ		Post2017
98	Tangam	hundred	HUNDRED	1634	hundred	ləʔkon	ləʔ+kon		Post2017
99	Tangam	to hunt	HUNT	1435		Ø	Ø		Post2017
100	Tangam	the husband	HUSBAND	1200	husband	miro	mi+ro		Post2017
101	Tangam	I [first person singular]	I	1209	I	ŋoo	ŋoː		Post2017
102	Tangam	the ice	ICE	617	ice	paasoŋ	paː+soŋ		Post2017
103	Tangam	inside	INSIDE	1606	in	lo	lo		Post2017
104	Tangam	to kill	KILL	1417	kill	keŋ	keŋ		Post2017
105	Tangam	to knead	KNEAD	274		Ø	Ø		Post2017
106	Tangam	the knee	KNEE	1371	knee	lebəŋ	le+bəŋ		Post2017
107	Tangam	knife	KNIFE	1352	knife	yoocɨk	joː+tɕɨk		Post2017
108	Tangam	to know (something)	KNOW (SOMETHING)	1410	know	kin	kin		Post2017
109	Tangam	the lake	LAKE	624	lake	hiyəŋ	hi+jəŋ		Post2017
110	Tangam	late	LATE	477		Ø	Ø		Post2017
111	Tangam	to laugh	LAUGH	1355	laugh	ŋin	ŋin		Post2017
112	Tangam	the leaf	LEAF	628	leaf	anɨ	a+nɨ		Post2017
113	Tangam	to learn	LEARN	504	study, read	po	po		Post2017
114	Tangam	left	LEFT	244	left arm/hand	laʔki	laʔ+ki	ki	Post2017
115	Tangam	to lick	LICK	319	lick	yaʔta	jaʔ+ta		Post2017
116	Tangam	to lie down	LIE DOWN	215	lie down	da	da		Post2017
117	Tangam	light (of weight)	LIGHT (WEIGHT)	1052	light	aun	aun		Post2017
118	Tangam	the lip (the lips)	LIP	478	lip	ciiban	tɕiː+ban		Post2017
119	Tangam	the liver	LIVER	1224	liver	ain	a+in		Post2017
120	Tangam	long	LONG	1203	long	oodo	oː+do		Post2017
121	Tangam	the louse	LOUSE	1392	louse (head)	tekya	te+kja		Post2017
122	Tangam	the lung	LUNG	688	lung(s)	daapuk	daː+puk		Post2017
123	Tangam	the man (male human)	MALE PERSON	2106	man	abəŋ	a+bəŋ		Post2017
124	Tangam	many	MANY	1198	many	cako	tɕa+ko		Post2017
125	Tangam	to marry (a man marries a woman)	MARRY (AS MAN)	2164		Ø	Ø		Post2017
126	Tangam	the meat	MEAT	634	meat	demi	de+mi		Post2017
127	Tangam	middle	MIDDLE	1093	middle	laadaŋ	laː+daŋ		Post2017
128	Tangam	the moon	MOON	1313	moon	pooro	poː+ro		Post2017
129	Tangam	morning	MORNING	1339	morning	lokon	lo+kon		Post2017
130	Tangam	the mosquito	MOSQUITO	1509	mosquito	miʔko coono	miʔ+ko+tɕoː+no		Post2017
131	Tangam	the mother	MOTHER	1216	mother	ane	a+ne		Post2017
132	Tangam	the mountain	MOUNTAIN	639	mountain	yolloŋ	jol+loŋ		Post2017
133	Tangam	the mouse or rat	MUROID (MOUSE OR RAT)	2139	mouse	kari	ka+ri		Post2017
134	Tangam	the mouth	MOUTH	674	mouth	ɲaci	ɲa+tɕi		Post2017
135	Tangam	the mud	MUD	640		Ø	Ø		Post2017
136	Tangam	the nail (fingernail or claw)	CLAW OR NAIL	2128	fingernail	laayin	laː+jin	yin	Post2017
137	Tangam	the name	NAME	1405	name	ami	a+mi		Post2017
138	Tangam	narrow	NARROW	1267	narrow	tapit	ta+pit		Post2017
139	Tangam	near	NEAR	1942	near	nici	ni+tɕi		Post2017
140	Tangam	the neck	NECK	1333	neck	ləŋguŋ	ləŋ+guŋ		Post2017
141	Tangam	the needle (for sewing)	NEEDLE (FOR SEWING)	1382		Ø	Ø		Post2017
142	Tangam	new	NEW	1231		Ø	Ø		Post2017
143	Tangam	nine	NINE	1483	nine	konaŋ	ko+naŋ		Post2017
144	Tangam	the nit	NIT	267		Ø	Ø		Post2017
145	Tangam	noon	MIDDAY	12		Ø	Ø		Post2017
146	Tangam	the nose	NOSE	1221	nose	ɲobuŋ	ɲo+buŋ		Post2017
147	Tangam	old (of person)	OLD (AGED)	2112	old (animate)	mɨǰiŋ	mɨ+ʥiŋ		Post2017
148	Tangam	one	ONE	1493	one	yoʔkon	joʔ+kon		Post2017
149	Tangam	the otter	OTTER	15	otter	hiran	hi+ran		Post2017
150	Tangam	outside	OUTSIDE	762	outside	laʔko	laʔ+ko		Post2017
151	Tangam	the pig	PIG	1337	pig	aɨk	a+ɨk		Post2017
152	Tangam	to plant (vegetals, rice)	PLANT (SOMETHING)	1486	plant (with planting stick)	ǰɨŋ	ʥɨŋ		Post2017
153	Tangam	to play	PLAY	1413	as.play	man	man		Post2017
154	Tangam	to pull	PULL	1455	pull	ho	ho		Post2017
155	Tangam	to push	PUSH	1452	push	ŋɨn	ŋɨn		Post2017
156	Tangam	the rain	RAIN (PRECIPITATION)	658	rain	pedoŋ	pe+doŋ		Post2017
157	Tangam	the rainbow	RAINBOW	1733	rainbow	amɨ nao	a+mɨ+nao		Post2017
158	Tangam	red	RED	156	red	buubu	buː+bu		Post2017
159	Tangam	to reside (live)	DWELL (LIVE, RESIDE)	363	live / exist	ye	je		Post2017
160	Tangam	the rice plant	RICE PLANT	2026	paddy	dero	de+ro		Post2017
161	Tangam	right	RIGHT	1019	right arm / hand	laabik	laː+bik	bik	Post2017
162	Tangam	the river	RIVER	666	river (large)	kopoŋ	ko+poŋ		Post2017
163	Tangam	the road	ROAD	667	road	bedaŋ	be+daŋ		Post2017
164	Tangam	the root	ROOT	670	root (of a tree)	apen	a+pen		Post2017
165	Tangam	the rope	ROPE	1218	rope	adoŋ	a+doŋ		Post2017
166	Tangam	round	ROUND	1395		Ø	Ø		Post2017
167	Tangam	to run	RUN	1519	run	duudu	duː+du		Post2017
168	Tangam	the salt	SALT	1274	salt	aro	a+ro		Post2017
169	Tangam	salty	SALTY	1091		Ø	Ø		Post2017
170	Tangam	the sand	SAND	671	sand	ləəde	ləː+de		Post2017
171	Tangam	to scratch	SCRATCH	1436	scratch (using claws)	ok	ok		Post2017
172	Tangam	the sea	SEA	1474		Ø	Ø		Post2017
173	Tangam	to see	SEE	1409	look	ke	ke		Post2017
174	Tangam	the seed	SEED	714	seed (chili pepper)	himɨ	hi+mɨ		Post2017
175	Tangam	seven	SEVEN	1704	seven	kene	ke+ne		Post2017
176	Tangam	sharp	SHARP	1396	sharp (of a blade), vi.	lat	lat		Post2017
177	Tangam	the sheep	SHEEP	1331		Ø	Ø		Post2017
178	Tangam	to shoot (an arrow)	SHOOT	1172	shoot	at	at		Post2017
179	Tangam	short	SHORT	1645	short	ondəŋ	on+dəŋ		Post2017
180	Tangam	the shoulder	SHOULDER	1482		Ø	Ø		Post2017
181	Tangam	shy	SHY	487	shy	aɲɨŋ	a+ɲɨŋ		Post2017
182	Tangam	the sickle	SICKLE	341	sickle	nau kacik	nau+ka+tɕik		Post2017
183	Tangam	to sing	SING	1261	sing	gyoŋ	gjoŋ		Post2017
184	Tangam	six	SIX	1703	six	yoʔkuŋ	joʔ+kuŋ		Post2017
185	Tangam	the skin	SKIN	763	skin	ahɨk	a+hɨk		Post2017
186	Tangam	the sky	SKY	1732	sky	terəŋ	te+rəŋ		Post2017
187	Tangam	to sleep	SLEEP	1585	sleep	it	it		Post2017
188	Tangam	small	SMALL	1246	small	atuŋ	a+tuŋ		Post2017
189	Tangam	to smell (perceive odor) [transitive]	SMELL (PERCEIVE)	1586	smell vr.	nan	nan		Post2017
190	Tangam	the smoke	SMOKE (EXHAUST)	778	smoke	meɨŋ	me+ɨŋ		Post2017
191	Tangam	smooth	SMOOTH	1234		Ø	Ø		Post2017
192	Tangam	the snake	SNAKE	730	snake	tɨbɨ	tɨ+bɨ		Post2017
193	Tangam	the snow	SNOW	784	snow	tepan	te+pan		Post2017
194	Tangam	soft	SOFT	1856	soft	cabyat	tɕa+bjat		Post2017
195	Tangam	the son	SON	1620	son	dooŋ	doːŋ		Post2017
196	Tangam	the sparrow	SPARROW	1854		Ø	Ø		Post2017
197	Tangam	the spider	SPIDER	843	spider	tooten	toː+ten		Post2017
198	Tangam	to spit	SPIT	1440	spit	cut	tɕut		Post2017
199	Tangam	to stand	STAND	1442	stand	dak	dak		Post2017
200	Tangam	the star	STAR	1430	star	doɨ kacciŋ	do+ɨ+katɕ+tɕiŋ		Post2017
201	Tangam	to steal	STEAL	713	steal	pyoŋ	pjoŋ		Post2017
202	Tangam	the stick	STICK	1295	(stick for stirring food)	peɲu	pe+ɲu		Post2017
203	Tangam	the stone (a piece of)	STONE	857	stone	arəŋ	a+rəŋ		Post2017
204	Tangam	straight	STRAIGHT	1404		Ø	Ø		Post2017
205	Tangam	the sun	SUN	1343	sun	dooɲi	doː+ɲi		Post2017
206	Tangam	the tail	TAIL	1220	tail	mecuŋ	me+tɕuŋ		Post2017
207	Tangam	ten	TEN	1515	ten	aɨŋ	a+ɨŋ		Post2017
208	Tangam	that	THAT	78	that (in line of sight)	de	de		Post2017
209	Tangam	there	THERE	1937	there (in line of sight)	dəə	dəː		Post2017
210	Tangam	thick	THICK	1244	thick	biitaŋ	biː+taŋ		Post2017
211	Tangam	the thigh	UPPER LEG (THIGH)	471	thigh	ambaŋ	am+baŋ		Post2017
212	Tangam	thin (object)	THIN (OF SHAPE OF OBJECT)	2249	thin vr.	kyuŋ	kjuŋ		Post2017
213	Tangam	to think (reflect)	THINK (REFLECT)	1415	think	min	min		Post2017
214	Tangam	this	THIS	1214	this	hi	hi		Post2017
215	Tangam	thou [second person singular]	THOU	1215	you sg	noo	noː		Post2017
216	Tangam	three	THREE	492	three	yooden	joː+den		Post2017
217	Tangam	to throw	THROW	1456	throw (underhand)	kuŋ	kuŋ		Post2017
218	Tangam	the thunder	THUNDER	1150	thunder	doomɨn	doː+mɨn		Post2017
219	Tangam	the tiger	TIGER	846	tiger	himyo	hi+mjo		Post2017
220	Tangam	today	TODAY	1283	today	hiro	hi+ro		Post2017
221	Tangam	tomorrow	TOMORROW	1329	tomorrow	looro	loː+ro		Post2017
222	Tangam	the tongue	TONGUE	1205	tongue	ao	a+o		Post2017
223	Tangam	the tooth (front)	TOOTH	1380	tooth	eepaŋ	eː+paŋ		Post2017
224	Tangam	the tree	TREE	906	tree	ahɨŋ	a+hɨŋ		Post2017
225	Tangam	twenty	TWENTY	1710	twenty	aɨŋ aɲi	a+ɨŋ+a+ɲi		Post2017
226	Tangam	two	TWO	1498	two	yooɲi	joː+ɲi		Post2017
227	Tangam	to vomit	VOMIT	1278	vomit	ba	ba		Post2017
228	Tangam	to walk	WALK	1443		Ø	Ø		Post2017
229	Tangam	the water	WATER	948	water	ahi	a+hi		Post2017
230	Tangam	we [first person plural inclusive]	WE (INCLUSIVE)	1131	we	ŋoru	ŋo+ru		Post2017
231	Tangam	wet	WET	1726	wet	koǰɨŋ	ko+ʥɨŋ		Post2017
232	Tangam	what	WHAT	1236	what (thing)	ŋen	ŋen		Post2017
233	Tangam	the wheat	WHEAT	1077		Ø	Ø		Post2017
234	Tangam	where	WHERE	1237	where	kero	ke+ro		Post2017
235	Tangam	white	WHITE	1335	white	lullun	lul+lun		Post2017
236	Tangam	who	WHO	1235	who	ɨɨ	ɨː		Post2017
237	Tangam	the wife	WIFE	1199	wife	mime	mi+me		Post2017
238	Tangam	the wind	WIND	960	wind	doit	do+it		Post2017
239	Tangam	the wing	WING	1257	wing	labben	lab+ben		Post2017
240	Tangam	to wipe	WIPE	1454	wipe (a surface)	not	not		Post2017
241	Tangam	the wolf	WOLF	522		Ø	Ø		Post2017
242	Tangam	the woman	WOMAN	962	woman	ɲaməŋ	ɲa+məŋ		Post2017
243	Tangam	the wood (material)	WOOD	1803	tree	ahɨŋ	a+hɨŋ		Post2017
244	Tangam	to sow (broadcast, scatter seeds)	SOW SEEDS	748	sow (seeds/ grains)	pit	pit		Post2017
245	Tangam	the year	YEAR	1226	year	ɲɨ	ɲɨ		Post2017
246	Tangam	yellow	YELLOW	1424	yellow	gemba	gem+ba		Post2017
247	Tangam	yesterday	YESTERDAY	1174	yesterday	mero	me+ro		Post2017
248	Tangam	you [second person plural]	YOU	1213	you (pl)	noru	no+ru		Post2017
249	Tangam	young	YOUNG	1207	younger	ane	a+ne		Post2017
250	Tangam	the shit	SHIT (DEFECATE)	676	excrement	upa	u+pa		Post2017