GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
swell		???	
awake		???	
big (thick, wide)	Sagart-2019-250-11	big	4
branch	Sagart-2019-250-19	the branch	4
dry	Sagart-2019-250-40	dry	2
fire	Sagart-2019-250-54	the fire	4
month		???	
fireplace		???	
smell (v)	Sagart-2019-250-189	to smell (perceive odor) [transitive]	3
spider	Sagart-2019-250-197	the spider	4
vomit	Sagart-2019-250-227	to vomit	4
pillow		???	
look, see	Sagart-2019-250-173	to see	4
storehouse, granary		???	
#<<<			
soft, smooth	Sagart-2019-250-194	soft	4
soft, smooth	Sagart-2019-250-191	smooth	4
#>>>			
insect		???	
thorn		???	
sweet		???	
liver/lungs	Sagart-2019-250-119	the liver	4
rainbow	Sagart-2019-250-157	the rainbow	4
gold		???	
garlic, onion		???	
excrete, defecate		???	
smoke (n.)	Sagart-2019-250-190	the smoke	3
flower	Sagart-2019-250-61	the flower	4
elbow		???	
skin	Sagart-2019-250-185	the skin	4
far	Sagart-2019-250-50	far	2
red	Sagart-2019-250-158	red	2
rub		???	
listen, hear	Sagart-2019-250-85	to hear	4
that (lower)	Sagart-2019-250-208	that	4
tired		???	
dirty	Sagart-2019-250-36	dirty	2
walk	Sagart-2019-250-228	to walk	4
2SG		???	
cane; rope	Sagart-2019-250-165	the rope	4
eat	Sagart-2019-250-46	to eat	4
friend		???	
soil		???	
bamboo (big)	Sagart-2019-250-6	the bamboo	4
spicy		???	
water	Sagart-2019-250-229	the water	4
deep		???	
die	Sagart-2019-250-34	to die	4
meat	Sagart-2019-250-126	the meat	4
five	Sagart-2019-250-57	five	2
sugarcane		???	
heavy	Sagart-2019-250-87	heavy	2
knife	Sagart-2019-250-107	knife	2
pestle		???	
elder brother		???	
full	Sagart-2019-250-73	full	2
where	Sagart-2019-250-234	where	2
younger sibling		???	
excrement		???	
spittle		???	
think	Sagart-2019-250-213	to think (reflect)	4
star	Sagart-2019-250-200	the star	4
thread		???	
have; exist		???	
revenge		???	
ant	Sagart-2019-250-3	the ant	4
fight	Sagart-2019-250-53	to fight	4
sago palm		???	
body		???	
hard	Sagart-2019-250-82	hard	2
do		???	
tongue	Sagart-2019-250-222	the tongue	4
dream	Sagart-2019-250-38	the dream	4
hundred	Sagart-2019-250-98	hundred	2
sell		???	
this	Sagart-2019-250-214	this	2
heart	Sagart-2019-250-86	the heart	4
boil (water)		???	
salt	Sagart-2019-250-168	the salt	4
seed	Sagart-2019-250-174	the seed	4
straight	Sagart-2019-250-204	straight	2
(swidden) field		???	
put		???	
grass	Sagart-2019-250-77	the grass	4
ten	Sagart-2019-250-207	ten	2
aconite		???	
that	Sagart-2019-250-208	that	2
human		???	
tail	Sagart-2019-250-206	the tail	4
copula		???	
bow		???	
live, grow up		???	
mountain	Sagart-2019-250-132	the mountain	4
lick	Sagart-2019-250-115	to lick	4
back		???	
who	Sagart-2019-250-236	who	2
split		???	
light	Sagart-2019-250-117	light (of weight)	4
with		???	
nine	Sagart-2019-250-143	nine	2
bear		???	
vegetable		???	
pull	Sagart-2019-250-154	to pull	4
snow	Sagart-2019-250-193	the snow	4
round	Sagart-2019-250-166	round	2
otter	Sagart-2019-250-149	the otter	4
eye	Sagart-2019-250-49	the eye	4
hammer		???	
uncooked rice		???	
mouth; language	Sagart-2019-250-134	the mouth	4
white	Sagart-2019-250-235	white	2
2PL		???	
yesterday	Sagart-2019-250-247	yesterday	2
what	Sagart-2019-250-232	what	2
bee		???	
hair	Sagart-2019-250-80	the hair (of the head)	4
thousand		???	
near	Sagart-2019-250-139	near	2
mother	Sagart-2019-250-131	the mother	4
bad	Sagart-2019-250-5	bad	2
breath		???	
road	Sagart-2019-250-163	the road	4
blanket		???	
how many		???	
swim		???	
sister (elder)		???	
waterfall		???	
egg	Sagart-2019-250-47	the egg	4
make; do		???	
fruit	Sagart-2019-250-72	the fruit	4
penis		???	
cut		???	
dog	Sagart-2019-250-37	the dog	4
hand, arm	Sagart-2019-250-81	the hand	4
name	Sagart-2019-250-137	the name	4
house	Sagart-2019-250-97	the house	4
night		???	
lizard		???	
sit, stay		???	
eight	Sagart-2019-250-48	eight	2
maize		???	
sky	Sagart-2019-250-186	the sky	4
duck		???	
laugh	Sagart-2019-250-111	to laugh	4
stand	Sagart-2019-250-199	to stand	4
guts		???	
year	Sagart-2019-250-245	the year	4
drink	Sagart-2019-250-39	to drink	4
sand	Sagart-2019-250-170	the sand	4
old	Sagart-2019-250-147	old (of person)	4
1PL		???	
broom		???	
chin		???	
sun	Sagart-2019-250-205	the sun	4
speak		???	
wing	Sagart-2019-250-239	the wing	4
cook		???	
grandfather		???	
cloud	Sagart-2019-250-25	the cloud	4
ill		???	
long	Sagart-2019-250-120	long	2
lift		???	
tooth	Sagart-2019-250-223	the tooth (front)	4
thigh	Sagart-2019-250-211	the thigh	4
burn	Sagart-2019-250-21	to burn [intransitive]	4
day		???	
hot, warm	Sagart-2019-250-96	hot	4
itch		???	
bird	Sagart-2019-250-12	the bird	4
3SG		???	
tree	Sagart-2019-250-224	the tree	4
shoulder	Sagart-2019-250-180	the shoulder	4
iron		???	
chicken		???	
flow	Sagart-2019-250-60	to flow	4
moon	Sagart-2019-250-128	the moon	4
buffalo		???	
kick		???	
neg. imp.		???	
breast; milk	Sagart-2019-250-20	the breast (female)	4
sew		???	
grandmother		???	
horn	Sagart-2019-250-94	the horn (keratinized skin)	4
leaf	Sagart-2019-250-112	the leaf	4
louse	Sagart-2019-250-121	the louse	4
liquor		???	
man (male)	Sagart-2019-250-123	the man (male human)	4
mortar		???	
goat	Sagart-2019-250-75	the goat	4
suck		???	
medicine		???	
bone	Sagart-2019-250-18	the bone	4
#<<<			
body hair, feather	Sagart-2019-250-17	the body hair (hair or fur)	4
body hair, feather	Sagart-2019-250-52	the feather	4
#>>>			
three	Sagart-2019-250-216	three	2
new	Sagart-2019-250-142	new	2
love		???	
blood	Sagart-2019-250-15	the blood	4
cooking oil		???	
paddy rice		???	
kill	Sagart-2019-250-104	to kill	4
take		???	
chili		???	
tell		???	
woman	Sagart-2019-250-242	the woman	4
turquoise		???	
two	Sagart-2019-250-226	two	2
pig	Sagart-2019-250-151	the pig	4
weave		???	
know	Sagart-2019-250-108	to know (something)	4
give	Sagart-2019-250-74	to give	4
run	Sagart-2019-250-167	to run	4
door		???	
elephant		???	
root	Sagart-2019-250-164	the root	4
steal	Sagart-2019-250-201	to steal	4
nose	Sagart-2019-250-146	the nose	4
melt		???	
cow		???	
mosquito	Sagart-2019-250-130	the mosquito	4
empty		???	
head	Sagart-2019-250-84	the head	4
six	Sagart-2019-250-184	six	2
bite	Sagart-2019-250-13	to bite	4
few		???	
coal		???	
1SG		???	
snake	Sagart-2019-250-192	the snake	4
spear		???	
horse	Sagart-2019-250-95	the horse	4
sleep	Sagart-2019-250-187	to sleep	4
swallow		???	
right	Sagart-2019-250-161	right	2
fat (n)		???	
blow	Sagart-2019-250-16	to blow (of wind)	4
bark (tree)		???	
ring		???	
cry	Sagart-2019-250-30	to cry (weep)	4
river	Sagart-2019-250-162	the river	4
1DU		???	
banana		???	
seven	Sagart-2019-250-175	seven	2
leech		???	
fish	Sagart-2019-250-56	the fish	4
one	Sagart-2019-250-148	one	2
wind	Sagart-2019-250-238	the wind	4
four	Sagart-2019-250-67	four	2
left	Sagart-2019-250-114	left	2
wood	Sagart-2019-250-243	the wood (material)	4
axe		???	
dead body		???	
stab, punch		???	
window		???	
grind, crush		???	
finger		???	
knee	Sagart-2019-250-106	the knee	4
frog	Sagart-2019-250-69	the frog	4
short	Sagart-2019-250-179	short	2
rain	Sagart-2019-250-156	the rain	4
3PL		???	
fear		???	
cloth		???	
dig	Sagart-2019-250-35	to dig	4
bitter		???	
child	Sagart-2019-250-24	the child (young human)	4
leg		???	
#	139/262	53%

